style_group_id,parent_title,parent_type,child_handle,colour_name,swatch_order,approved,_child_title,_style_code,_colour_code,_price,_size_scale,_code_spread,_source_parent_id,_source_parent_handle,_flags
MIM-T-afterparty-crossbody-bag,Afterparty Crossbody Bag,Bags Leather,afterparty-crossbody-bag-60299144-3637,Black Light Gold,1,Y,Afterparty Crossbody Bag,,,,No Size,,gid://shopify/Product/7986340200538,afterparty-crossbody-bag-60299144,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-afterparty-crossbody-bag,Afterparty Crossbody Bag,Bags Leather,afterparty-crossbody-bag-60299145-100,White,2,Y,Afterparty Crossbody Bag,,,,No Size,,gid://shopify/Product/7986340397146,afterparty-crossbody-bag-60299145,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-afterparty-multi-wear-shoulder-bag,Afterparty Multi-Wear Shoulder Bag,Bags Leather,afterparty-multi-wear-shoulder-bag-60299149-3637,Black Light Gold,1,Y,Afterparty Multi-Wear Shoulder Bag,,,,No Size,,gid://shopify/Product/7986340823130,afterparty-multi-wear-shoulder-bag-60299149,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-afterparty-multi-wear-shoulder-bag,Afterparty Multi-Wear Shoulder Bag,Bags Leather,afterparty-multi-wear-shoulder-bag-60299150-100,White,2,Y,Afterparty Multi-Wear Shoulder Bag,,,,No Size,,gid://shopify/Product/7986340986970,afterparty-multi-wear-shoulder-bag-60299150,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-afterparty-multi-wear-shoulder-bag,Afterparty Multi-Wear Shoulder Bag,Bags Leather,afterparty-multi-wear-shoulder-bag-60299147-6522,Pink Sorbet,3,Y,Afterparty Multi-Wear Shoulder Bag,,,,No Size,,gid://shopify/Product/7986340560986,afterparty-multi-wear-shoulder-bag-60299147,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-afterparty-multi-wear-shoulder-bag,Afterparty Multi-Wear Shoulder Bag,Bags Leather,afterparty-multi-wear-shoulder-bag-60299148-1752,Zebra Print,4,Y,Afterparty Multi-Wear Shoulder Bag,,,,No Size,,gid://shopify/Product/7986340724826,afterparty-multi-wear-shoulder-bag-60299148,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-afterparty-multi-wear-shoulder-bag,Afterparty Multi-Wear Shoulder Bag,Bags Leather,afterparty-multi-wear-shoulder-bag-60301505-901,Silver,5,Y,Afterparty Multi-Wear Shoulder Bag,,,,No Size,,gid://shopify/Product/7986520981594,afterparty-multi-wear-shoulder-bag-60301505,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-alina-shoulder-bag,Alina Shoulder Bag,Bags Leather,alina-shoulder-bag-60309338-1,Black,1,Y,Alina Shoulder Bag,,,,No Size,,gid://shopify/Product/7986370216026,alina-shoulder-bag-60309338,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-alina-shoulder-bag,Alina Shoulder Bag,Bags Leather,alina-shoulder-bag-60309339-9501,Mahogany,2,Y,Alina Shoulder Bag,,,,No Size,,gid://shopify/Product/7986370412634,alina-shoulder-bag-60309339,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-alina-shoulder-bag,Alina Shoulder Bag,Bags Leather,alina-shoulder-bag-60309340-441,Baby Blue,3,Y,Alina Shoulder Bag,,,,No Size,,gid://shopify/Product/7986370543706,alina-shoulder-bag-60309340,SINGLETON_PARENT|NONSTANDARD_HANDLE
