style_group_id,parent_title,parent_type,child_handle,colour_name,swatch_order,approved,_child_title,_style_code,_colour_code,_price,_size_scale,_code_spread,_source_parent_id,_source_parent_handle,_flags
MIM-T-aria-bowler-bag,Aria Bowler Bag,Bags Non Leather,aria-bowler-bag-60318110-1,Black,1,Y,Aria Bowler Bag,,,279.95,No Size,,gid://shopify/Product/7986413699162,aria-bowler-bag-60318110,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-aria-bowler-bag,Aria Bowler Bag,Bags Non Leather,aria-bowler-bag-60318113-602,Merlot,2,Y,Aria Bowler Bag,,,279.95,No Size,,gid://shopify/Product/7986413863002,aria-bowler-bag-60318113,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-aura-grab-bag,Aura Grab Bag,Bags Non Leather,aura-grab-bag-60312081-126,Vanilla,1,Y,Aura Grab Bag,,,29,No Size,,gid://shopify/Product/7986381127770,aura-grab-bag-60312081,SINGLETON_PARENT|NONSTANDARD_HANDLE|PRICE_VARIANCE
MIM-T-aura-grab-bag,Aura Grab Bag,Bags Non Leather,aura-grab-bag-60312082-178,Red,2,Y,Aura Grab Bag,,,29,No Size,,gid://shopify/Product/7986381291610,aura-grab-bag-60312082,SINGLETON_PARENT|NONSTANDARD_HANDLE|PRICE_VARIANCE
MIM-T-aura-grab-bag,Aura Grab Bag,Bags Non Leather,aura-grab-bag-60312837-240,Cocoa,3,Y,Aura Grab Bag,,,29,No Size,,gid://shopify/Product/7986383323226,aura-grab-bag-60312837,SINGLETON_PARENT|NONSTANDARD_HANDLE|PRICE_VARIANCE
MIM-T-aura-grab-bag,Aura Grab Bag,Bags Non Leather,aura-grab-bag-60300869-1,Black,4,Y,Aura Grab Bag,,,29,No Size,,gid://shopify/Product/7986520784986,aura-grab-bag-60300869,SINGLETON_PARENT|NONSTANDARD_HANDLE|PRICE_VARIANCE
MIM-T-aura-grab-bag,Aura Grab Bag,Bags Non Leather,aura-grab-bag-60300870-291,Champagne,5,Y,Aura Grab Bag,,,49,No Size,,gid://shopify/Product/7986520817754,aura-grab-bag-60300870,SINGLETON_PARENT|NONSTANDARD_HANDLE|PRICE_VARIANCE
MIM-T-bianca-rouched-grab-bag,Bianca Rouched Grab Bag,Bags Non Leather,bianca-rouched-grab-bag-60312086-657,Petal,1,Y,Bianca Rouched Grab Bag,,,59,No Size,,gid://shopify/Product/7986381455450,bianca-rouched-grab-bag-60312086,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-bianca-rouched-grab-bag,Bianca Rouched Grab Bag,Bags Non Leather,bianca-rouched-grab-bag-60312088-1,Black,2,Y,Bianca Rouched Grab Bag,,,79,No Size,,gid://shopify/Product/7986381750362,bianca-rouched-grab-bag-60312088,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-blondie-basket-tote-bag,Blondie Basket Tote Bag,Bags Non Leather,blondie-basket-tote-bag-60297275-1,Black,1,Y,Blondie Basket Tote Bag,,,129,No Size,,gid://shopify/Product/7986330828890,blondie-basket-tote-bag-60297275,SINGLETON_PARENT|NONSTANDARD_HANDLE
