style_group_id,parent_title,parent_type,child_handle,colour_name,swatch_order,approved,_child_title,_style_code,_colour_code,_price,_size_scale,_code_spread,_source_parent_id,_source_parent_handle,_flags
MIM-T-a-little-crush-stud-earrings,A Little Crush Stud Earrings,Ear,a-little-crush-stud-earrings-60308270-901,Silver,1,Y,A Little Crush Stud Earrings,,,39,No Size,,gid://shopify/Product/7986364350554,a-little-crush-stud-earrings-60308270,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-a-little-crush-stud-earrings,A Little Crush Stud Earrings,Ear,a-little-crush-stud-earrings-60308271-908,Gold,2,Y,A Little Crush Stud Earrings,,,39,No Size,,gid://shopify/Product/7986364481626,a-little-crush-stud-earrings-60308271,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-a-love-story-hoop-earrings,A Love Story Hoop Earrings,Ear,a-love-story-hoop-earrings-60306882-901,Silver,1,Y,A Love Story Hoop Earrings,,,29,No Size,,gid://shopify/Product/7986353471578,a-love-story-hoop-earrings-60306882,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-a-love-story-hoop-earrings,A Love Story Hoop Earrings,Ear,a-love-story-hoop-earrings-60306881-908,Gold,2,Y,A Love Story Hoop Earrings,,,39,No Size,,gid://shopify/Product/7986353340506,a-love-story-hoop-earrings-60306881,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-abundance-stone-stud-earrings,Abundance Stone Stud Earrings,Ear,abundance-stone-stud-earrings-60321374-433,Cobalt,1,Y,Abundance Stone Stud Earrings,,,99.95,No Size,,gid://shopify/Product/7986423464026,abundance-stone-stud-earrings-60321374,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-abundance-stone-stud-earrings,Abundance Stone Stud Earrings,Ear,abundance-stone-stud-earrings-60323027-974,Caramel,2,Y,Abundance Stone Stud Earrings,,,99.95,No Size,,gid://shopify/Product/7986429329498,abundance-stone-stud-earrings-60323027,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-adorbs-enamel-stud-earrings,Adorbs Enamel Stud Earrings,Ear,adorbs-enamel-stud-earrings-60313798-657,Petal,1,Y,Adorbs Enamel Stud Earrings,,,19,No Size,,gid://shopify/Product/7986391744602,adorbs-enamel-stud-earrings-60313798,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-adorbs-enamel-stud-earrings,Adorbs Enamel Stud Earrings,Ear,adorbs-enamel-stud-earrings-60313799-1,Black,2,Y,Adorbs Enamel Stud Earrings,,,19,No Size,,gid://shopify/Product/7986391908442,adorbs-enamel-stud-earrings-60313799,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-adorbs-enamel-stud-earrings,Adorbs Enamel Stud Earrings,Ear,adorbs-enamel-stud-earrings-60314614-126,Vanilla,3,Y,Adorbs Enamel Stud Earrings,,,19,No Size,,gid://shopify/Product/7986401280090,adorbs-enamel-stud-earrings-60314614,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-adorbs-heart-hoop-earrings,Adorbs Heart Hoop Earrings,Ear,adorbs-heart-hoop-earrings-60313808-1,Black,1,Y,Adorbs Heart Hoop Earrings,,,39,No Size,,gid://shopify/Product/7986389876826,adorbs-heart-hoop-earrings-60313808,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-adorbs-heart-hoop-earrings,Adorbs Heart Hoop Earrings,Ear,adorbs-heart-hoop-earrings-60313809-657,Petal,2,Y,Adorbs Heart Hoop Earrings,,,49,No Size,,gid://shopify/Product/7986390040666,adorbs-heart-hoop-earrings-60313809,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-adorbs-heart-stud-earrings,Adorbs Heart Stud Earrings,Ear,adorbs-heart-stud-earrings-60313800-1,Black,1,Y,Adorbs Heart Stud Earrings,,,24,No Size,,gid://shopify/Product/7986392072282,adorbs-heart-stud-earrings-60313800,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-adorbs-heart-stud-earrings,Adorbs Heart Stud Earrings,Ear,adorbs-heart-stud-earrings-60313801-657,Petal,2,Y,Adorbs Heart Stud Earrings,,,24,No Size,,gid://shopify/Product/7986392137818,adorbs-heart-stud-earrings-60313801,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-adorbs-hoop-earrings,Adorbs Hoop Earrings,Ear,adorbs-hoop-earrings-60313842-908,Gold,1,Y,Adorbs Hoop Earrings,,,29,No Size,,gid://shopify/Product/7986391122010,adorbs-hoop-earrings-60313842,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-adorbs-hoop-earrings,Adorbs Hoop Earrings,Ear,adorbs-hoop-earrings-60313843-901,Silver,2,Y,Adorbs Hoop Earrings,,,29,No Size,,gid://shopify/Product/7986391285850,adorbs-hoop-earrings-60313843,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-adorbs-hoop-earrings,Adorbs Hoop Earrings,Ear,adorbs-hoop-earrings-60313841-9570,Rose Gold,3,Y,Adorbs Hoop Earrings,,,39,No Size,,gid://shopify/Product/7986390958170,adorbs-hoop-earrings-60313841,SINGLETON_PARENT|NONSTANDARD_HANDLE
