style_group_id,parent_title,parent_type,child_handle,colour_name,swatch_order,approved,_child_title,_style_code,_colour_code,_price,_size_scale,_code_spread,_source_parent_id,_source_parent_handle,_flags
MIM-T-astro-sneakers,Astro Sneakers,Flats,astro-sneakers-60259268-1,Black,1,Y,Astro Sneakers,,,,"35,36,37,38,39,40,41,42",,gid://shopify/Product/7986274500698,astro-sneakers-60259268,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-astro-sneakers,Astro Sneakers,Flats,astro-sneakers-60259026-100,White,2,Y,Astro Sneakers,,,,"35,36,37,38,39,40,41,42",,gid://shopify/Product/7986276794458,astro-sneakers-60259026,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-chronicle-slippers,Chronicle Slippers,Flats,chronicle-slippers-60318035-602,Merlot,1,Y,Chronicle Slippers,,,59,"Womens Slippers 35-36,Womens Slippers 37-38,Womens Slippers 39-40,Womens Slippers 41-42",,gid://shopify/Product/7986414878810,chronicle-slippers-60318035,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-chronicle-slippers,Chronicle Slippers,Flats,chronicle-slippers-60318036-657,Petal,2,Y,Chronicle Slippers,,,59,"Womens Slippers 35-36,Womens Slippers 37-38,Womens Slippers 39-40,Womens Slippers 41-42",,gid://shopify/Product/7986415042650,chronicle-slippers-60318036,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-lively-slides,Lively Slides,Flats,lively-slides-60259040-100,White,1,Y,Lively Slides,,,,"35,36,37,38,39,40,41,42",,gid://shopify/Product/7986273321050,lively-slides-60259040,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-lively-slides,Lively Slides,Flats,lively-slides-60259033-974,Caramel,2,Y,Lively Slides,,,,"35,36,37,38,39,40,41,42",,gid://shopify/Product/7986276892762,lively-slides-60259033,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-pixie-ballet-flats,Pixie Ballet Flats,Flats,pixie-ballet-flats-60254331-9939,Rebel Heart,1,Y,Pixie Ballet Flats,,,,"35,36,37,38,39,40,41,42",,gid://shopify/Product/7986270470234,pixie-ballet-flats-60254331,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-pixie-ballet-flats,Pixie Ballet Flats,Flats,pixie-ballet-flats-60254332-1,Black,2,Y,Pixie Ballet Flats,,,,"35,36,37,38,39,40,41,42",,gid://shopify/Product/7986270634074,pixie-ballet-flats-60254332,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-queen-b-sneakers,Queen B Sneakers,Flats,queen-b-sneakers-60265655-1,Black,1,Y,Queen B Sneakers,,,,"35,36,37,38,39,40,41,42",,gid://shopify/Product/7986277417050,queen-b-sneakers-60265655,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-queen-b-sneakers,Queen B Sneakers,Flats,queen-b-sneakers-60265871-100,White,2,Y,Queen B Sneakers,,,,"35,36,37,38,39,40,41,42",,gid://shopify/Product/7986279284826,queen-b-sneakers-60265871,SINGLETON_PARENT|NONSTANDARD_HANDLE
