style_group_id,parent_title,parent_type,child_handle,colour_name,swatch_order,approved,_child_title,_style_code,_colour_code,_price,_size_scale,_code_spread,_source_parent_id,_source_parent_handle,_flags
MIM-T-azealia-bead-hat,Azealia Bead Hat,Hair,azealia-bead-hat-60325976-200,Chocolate,1,Y,Azealia Bead Hat,,,129.95,No Size,,gid://shopify/Product/7986540281946,azealia-bead-hat-60325976,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-azealia-bead-hat,Azealia Bead Hat,Hair,azealia-bead-hat-60326026-2344,Off White,2,Y,Azealia Bead Hat,,,129.95,No Size,,gid://shopify/Product/7986540413018,azealia-bead-hat-60326026,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-ball-scrunchie,Ball Scrunchie,Hair,ball-scrunchie-60309458-611,Claret,1,Y,Ball Scrunchie,,,19,One Size,,gid://shopify/Product/7986369953882,ball-scrunchie-60309458,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-ball-scrunchie,Ball Scrunchie,Hair,ball-scrunchie-60314535-657,Petal,2,Y,Ball Scrunchie,,,19,One Size,,gid://shopify/Product/7986399871066,ball-scrunchie-60314535,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-ball-scrunchie,Ball Scrunchie,Hair,ball-scrunchie-60314537-4155,Sky Blue,3,Y,Ball Scrunchie,,,19,One Size,,gid://shopify/Product/7986400034906,ball-scrunchie-60314537,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-bejewel-scrunchie,Bejewel Scrunchie,Hair,bejewel-scrunchie-60316733-124,Pancake,1,Y,Bejewel Scrunchie,,,29.95,No Size,,gid://shopify/Product/7986411274330,bejewel-scrunchie-60316733,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-bejewel-scrunchie,Bejewel Scrunchie,Hair,bejewel-scrunchie-60316739-1,Black,2,Y,Bejewel Scrunchie,,,29.95,No Size,,gid://shopify/Product/7986411470938,bejewel-scrunchie-60316739,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-charm-scrunchie,Charm Scrunchie,Hair,charm-scrunchie-60315847-7658,Choc Berry,1,Y,Charm Scrunchie,,,29,No Size,,gid://shopify/Product/7986404261978,charm-scrunchie-60315847,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-charm-scrunchie,Charm Scrunchie,Hair,charm-scrunchie-60315849-126,Vanilla,2,Y,Charm Scrunchie,,,29,No Size,,gid://shopify/Product/7986404393050,charm-scrunchie-60315849,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-charm-scrunchie,Charm Scrunchie,Hair,charm-scrunchie-60319636-6012,Bordeaux,3,Y,Charm Scrunchie,,,29,No Size,,gid://shopify/Product/7986421923930,charm-scrunchie-60319636,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-charm-scrunchie,Charm Scrunchie,Hair,charm-scrunchie-60319637-657,Petal,4,Y,Charm Scrunchie,,,29,No Size,,gid://shopify/Product/7986422087770,charm-scrunchie-60319637,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-chill-pin-set,Chill Pin Set,Hair,chill-pin-set-60326460-4066,Azure,1,Y,Chill Pin Set,,,49.95,No Size,,gid://shopify/Product/8028718465114,chill-pin-set-60326460,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-chill-pin-set,Chill Pin Set,Hair,chill-pin-set-60326461-993,Fuchsia,2,Y,Chill Pin Set,,,49.95,No Size,,gid://shopify/Product/8028718530650,chill-pin-set-60326461,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-chill-pin-set,Chill Pin Set,Hair,chill-pin-set-60326462-569,Lilac,3,Y,Chill Pin Set,,,49.95,No Size,,gid://shopify/Product/8028718628954,chill-pin-set-60326462,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-dazzle-headband,Dazzle Headband,Hair,dazzle-headband-60304157-416,Gunmetal,1,Y,Dazzle Headband,,,29,No Size,,gid://shopify/Product/7986344132698,dazzle-headband-60304157,SINGLETON_PARENT|NONSTANDARD_HANDLE|DUPLICATE_COLOUR|PRICE_VARIANCE
MIM-T-dazzle-headband,Dazzle Headband,Hair,dazzle-headband-60304158-901,Silver,2,Y,Dazzle Headband,,,19,No Size,,gid://shopify/Product/7986344263770,dazzle-headband-60304158,SINGLETON_PARENT|NONSTANDARD_HANDLE|DUPLICATE_COLOUR|PRICE_VARIANCE
MIM-T-dazzle-headband,Dazzle Headband,Hair,dazzle-headband-60296234-901,Silver,3,Y,Dazzle Headband,,,29,No Size,,gid://shopify/Product/7986510331994,dazzle-headband-60296234,SINGLETON_PARENT|NONSTANDARD_HANDLE|DUPLICATE_COLOUR|PRICE_VARIANCE
MIM-T-dazzle-headband,Dazzle Headband,Hair,dazzle-headband-60296238-416,Gunmetal,4,Y,Dazzle Headband,,,49,No Size,,gid://shopify/Product/7986510528602,dazzle-headband-60296238,SINGLETON_PARENT|NONSTANDARD_HANDLE|DUPLICATE_COLOUR|PRICE_VARIANCE
MIM-T-dizzy-dots-large-scarf,Dizzy Dots Large Scarf,Hair,dizzy-dots-large-scarf-60321481-1,Black,1,Y,Dizzy Dots Large Scarf,,,129.95,No Size,,gid://shopify/Product/7986426413146,dizzy-dots-large-scarf-60321481,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-dizzy-dots-large-scarf,Dizzy Dots Large Scarf,Hair,dizzy-dots-large-scarf-60321483-200,Chocolate,2,Y,Dizzy Dots Large Scarf,,,129.95,No Size,,gid://shopify/Product/7986426576986,dizzy-dots-large-scarf-60321483,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-glam-bow-hair-barrette,Glam Bow Hair Barrette,Hair,glam-bow-hair-barrette-60313988-1,Black,1,Y,Glam Bow Hair Barrette,,,29,No Size,,gid://shopify/Product/7986396561498,glam-bow-hair-barrette-60313988,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-glam-bow-hair-barrette,Glam Bow Hair Barrette,Hair,glam-bow-hair-barrette-60313989-1625,Crystal,2,Y,Glam Bow Hair Barrette,,,29,No Size,,gid://shopify/Product/7986396758106,glam-bow-hair-barrette-60313989,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-groove-that-soothes-hair-tie,Groove That Soothes Hair Tie,Hair,groove-that-soothes-hair-tie-60302434-908,Gold,1,Y,Groove That Soothes Hair Tie,,,19,No Size,,gid://shopify/Product/7986524487770,groove-that-soothes-hair-tie-60302434,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-groove-that-soothes-hair-tie,Groove That Soothes Hair Tie,Hair,groove-that-soothes-hair-tie-60302435-901,Silver,2,Y,Groove That Soothes Hair Tie,,,19,No Size,,gid://shopify/Product/7986524651610,groove-that-soothes-hair-tie-60302435,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-in-love-hair-claw-clip,In Love Hair Claw Clip,Hair,in-love-hair-claw-clip-60316623-174,Pink,1,Y,In Love Hair Claw Clip,,,29,One Size,,gid://shopify/Product/7986409668698,in-love-hair-claw-clip-60316623,SINGLETON_PARENT|NONSTANDARD_HANDLE|PRICE_VARIANCE
