style_group_id,parent_title,parent_type,child_handle,colour_name,swatch_order,approved,_child_title,_style_code,_colour_code,_price,_size_scale,_code_spread,_source_parent_id,_source_parent_handle,_flags
MIM-T-eos-cap,Eos Cap,Hats,eos-cap-60325543-2344,Off White,1,Y,Eos Cap,,,59.95,No Size,,gid://shopify/Product/7986536808538,eos-cap-60325543,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-eos-cap,Eos Cap,Hats,eos-cap-60325545-993,Fuchsia,2,Y,Eos Cap,,,59.95,No Size,,gid://shopify/Product/7986537005146,eos-cap-60325545,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-eos-cap,Eos Cap,Hats,eos-cap-60325546-4066,Azure,3,Y,Eos Cap,,,59.95,No Size,,gid://shopify/Product/7986537168986,eos-cap-60325546,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-innate-visor-hat,Innate Visor Hat,Hats,innate-visor-hat-60271176-115,Natural,1,Y,Innate Visor Hat,,,19,No Size,,gid://shopify/Product/7986286493786,innate-visor-hat-60271176,SINGLETON_PARENT|NONSTANDARD_HANDLE|PRICE_VARIANCE
MIM-T-innate-visor-hat,Innate Visor Hat,Hats,innate-visor-hat-60271177-1,Black,2,Y,Innate Visor Hat,,,9,No Size,,gid://shopify/Product/7986286723162,innate-visor-hat-60271177,SINGLETON_PARENT|NONSTANDARD_HANDLE|PRICE_VARIANCE
MIM-T-paradise-sun-hat,Paradise Sun Hat,Hats,paradise-sun-hat-60271115-1,Black,1,Y,Paradise Sun Hat,,,39,No Size,,gid://shopify/Product/7986285084762,paradise-sun-hat-60271115,SINGLETON_PARENT|NONSTANDARD_HANDLE|PRICE_VARIANCE
MIM-T-paradise-sun-hat,Paradise Sun Hat,Hats,paradise-sun-hat-60271116-9420,Peony Pink,2,Y,Paradise Sun Hat,,,19,No Size,,gid://shopify/Product/7986285248602,paradise-sun-hat-60271116,SINGLETON_PARENT|NONSTANDARD_HANDLE|PRICE_VARIANCE
MIM-T-verano-cap,Verano Cap,Hats,verano-cap-60309453-321,Pine,1,Y,Verano Cap,,,29,No Size,,gid://shopify/Product/7986369069146,verano-cap-60309453,SINGLETON_PARENT|NONSTANDARD_HANDLE|DUPLICATE_COLOUR
MIM-T-verano-cap,Verano Cap,Hats,verano-cap-60310556-611,Claret,2,Y,Verano Cap,,,29,No Size,,gid://shopify/Product/7986374475866,verano-cap-60310556,SINGLETON_PARENT|NONSTANDARD_HANDLE|DUPLICATE_COLOUR
MIM-T-verano-cap,Verano Cap,Hats,verano-cap-60311074-657,Petal,3,Y,Verano Cap,,,29,No Size,,gid://shopify/Product/7986375786586,verano-cap-60311074,SINGLETON_PARENT|NONSTANDARD_HANDLE|DUPLICATE_COLOUR
MIM-T-verano-cap,Verano Cap,Hats,verano-cap-60311075-200,Chocolate,4,Y,Verano Cap,,,29,No Size,,gid://shopify/Product/7986375884890,verano-cap-60311075,SINGLETON_PARENT|NONSTANDARD_HANDLE|DUPLICATE_COLOUR
MIM-T-verano-cap,Verano Cap,Hats,verano-cap-60312911-200,Chocolate,5,Y,Verano Cap,,,,No Size,,gid://shopify/Product/7986386403418,verano-cap-60312911,SINGLETON_PARENT|NONSTANDARD_HANDLE|DUPLICATE_COLOUR
MIM-T-verano-cap,Verano Cap,Hats,verano-cap-60312912-657,Petal,6,Y,Verano Cap,,,,No Size,,gid://shopify/Product/7986386665562,verano-cap-60312912,SINGLETON_PARENT|NONSTANDARD_HANDLE|DUPLICATE_COLOUR
MIM-T-verano-cap,Verano Cap,Hats,verano-cap-60313787-4155,Sky Blue,7,Y,Verano Cap,,,29,No Size,,gid://shopify/Product/7986389975130,verano-cap-60313787,SINGLETON_PARENT|NONSTANDARD_HANDLE|DUPLICATE_COLOUR
MIM-T-verano-cap,Verano Cap,Hats,verano-cap-60313788-101,Buttermilk,8,Y,Verano Cap,,,29,No Size,,gid://shopify/Product/7986390138970,verano-cap-60313788,SINGLETON_PARENT|NONSTANDARD_HANDLE|DUPLICATE_COLOUR
MIM-T-verano-cap,Verano Cap,Hats,verano-cap-60302783-569,Lilac,9,Y,Verano Cap,,,29,No Size,,gid://shopify/Product/7986528026714,verano-cap-60302783,SINGLETON_PARENT|NONSTANDARD_HANDLE|DUPLICATE_COLOUR
MIM-T-verano-cap,Verano Cap,Hats,verano-cap-60302784-1,Black,10,Y,Verano Cap,,,29,No Size,,gid://shopify/Product/7986528190554,verano-cap-60302784,SINGLETON_PARENT|NONSTANDARD_HANDLE|DUPLICATE_COLOUR
MIM-T-verano-cap,Verano Cap,Hats,verano-cap-60302968-2348,Linen,11,Y,Verano Cap,,,29,No Size,,gid://shopify/Product/7986528387162,verano-cap-60302968,SINGLETON_PARENT|NONSTANDARD_HANDLE|DUPLICATE_COLOUR
