style_group_id,parent_title,parent_type,child_handle,colour_name,swatch_order,approved,_child_title,_style_code,_colour_code,_price,_size_scale,_code_spread,_source_parent_id,_source_parent_handle,_flags
MIM-T-arc-large-wallet,Arc Large Wallet,Large Wallet,arc-large-wallet-60309214-9501,Mahogany,1,Y,Arc Large Wallet,,,99,No Size,,gid://shopify/Product/7986368020570,arc-large-wallet-60309214,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-arc-large-wallet,Arc Large Wallet,Large Wallet,arc-large-wallet-60309216-2348,Linen,2,Y,Arc Large Wallet,,,99,No Size,,gid://shopify/Product/7986368184410,arc-large-wallet-60309216,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-bay-small-wallet,Bay Small Wallet,Large Wallet,bay-small-wallet-60311940-1,Black,1,Y,Bay Small Wallet,,,149.95,No Size,,gid://shopify/Product/7986380636250,bay-small-wallet-60311940,SINGLETON_PARENT|NONSTANDARD_HANDLE|PRICE_VARIANCE
MIM-T-bay-small-wallet,Bay Small Wallet,Large Wallet,bay-small-wallet-60311941-974,Caramel,2,Y,Bay Small Wallet,,,149.95,No Size,,gid://shopify/Product/7986380767322,bay-small-wallet-60311941,SINGLETON_PARENT|NONSTANDARD_HANDLE|PRICE_VARIANCE
MIM-T-bay-small-wallet,Bay Small Wallet,Large Wallet,bay-small-wallet-60311942-2351,Almond,3,Y,Bay Small Wallet,,,79,No Size,,gid://shopify/Product/7986380931162,bay-small-wallet-60311942,SINGLETON_PARENT|NONSTANDARD_HANDLE|PRICE_VARIANCE
MIM-T-bay-small-wallet,Bay Small Wallet,Large Wallet,bay-small-wallet-60311946-100,White,4,Y,Bay Small Wallet,,,79,No Size,,gid://shopify/Product/7986381095002,bay-small-wallet-60311946,SINGLETON_PARENT|NONSTANDARD_HANDLE|PRICE_VARIANCE
MIM-T-bay-small-wallet,Bay Small Wallet,Large Wallet,bay-small-wallet-60314974-9501,Mahogany,5,Y,Bay Small Wallet,,,79,No Size,,gid://shopify/Product/7986403049562,bay-small-wallet-60314974,SINGLETON_PARENT|NONSTANDARD_HANDLE|PRICE_VARIANCE
MIM-T-bay-wallet,Bay Wallet,Large Wallet,bay-wallet-60311938-974,Caramel,1,Y,Bay Wallet,,,69,No Size,,gid://shopify/Product/7986380374106,bay-wallet-60311938,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-bay-wallet,Bay Wallet,Large Wallet,bay-wallet-60311939-2351,Almond,2,Y,Bay Wallet,,,69,No Size,,gid://shopify/Product/7986380505178,bay-wallet-60311939,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-bay-wallet,Bay Wallet,Large Wallet,bay-wallet-60311850-1,Black,3,Y,Bay Wallet,,,69,No Size,,gid://shopify/Product/7986379128922,bay-wallet-60311850,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-bay-wallet,Bay Wallet,Large Wallet,bay-wallet-60314972-9501,Mahogany,4,Y,Bay Wallet,,,69,No Size,,gid://shopify/Product/7986402885722,bay-wallet-60314972,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-believer-wallet-cross-body-bag,Believer Wallet Cross Body Bag,Large Wallet,believer-wallet-cross-body-bag-60269440-1492,Black Rose Gold,1,Y,Believer Wallet Cross Body Bag,,,199,No Size,,gid://shopify/Product/7986285051994,believer-wallet-cross-body-bag-60269440,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-believer-wallet-cross-body-bag,Believer Wallet Cross Body Bag,Large Wallet,believer-wallet-cross-body-bag-60269443-9420,Peony Pink,2,Y,Believer Wallet Cross Body Bag,,,199,No Size,,gid://shopify/Product/7986285215834,believer-wallet-cross-body-bag-60269443,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-brunswick-medium-wallet,Brunswick Medium Wallet,Large Wallet,brunswick-medium-wallet-60298947-3637,Black Light Gold,1,Y,Brunswick Medium Wallet,,,49,No Size,,gid://shopify/Product/7986338234458,brunswick-medium-wallet-60298947,SINGLETON_PARENT|NONSTANDARD_HANDLE|DUPLICATE_COLOUR|PRICE_VARIANCE
MIM-T-brunswick-medium-wallet,Brunswick Medium Wallet,Large Wallet,brunswick-medium-wallet-60298948-7931,Black Leopard,2,Y,Brunswick Medium Wallet,,,79,No Size,,gid://shopify/Product/7986338431066,brunswick-medium-wallet-60298948,SINGLETON_PARENT|NONSTANDARD_HANDLE|DUPLICATE_COLOUR|PRICE_VARIANCE
MIM-T-brunswick-medium-wallet,Brunswick Medium Wallet,Large Wallet,brunswick-medium-wallet-60298949-459,Denim,3,Y,Brunswick Medium Wallet,,,29,No Size,,gid://shopify/Product/7986338562138,brunswick-medium-wallet-60298949,SINGLETON_PARENT|NONSTANDARD_HANDLE|DUPLICATE_COLOUR|PRICE_VARIANCE
MIM-T-brunswick-medium-wallet,Brunswick Medium Wallet,Large Wallet,brunswick-medium-wallet-60314465-3637,Black Light Gold,4,Y,Brunswick Medium Wallet,,,79,No Size,,gid://shopify/Product/7986401837146,brunswick-medium-wallet-60314465,SINGLETON_PARENT|NONSTANDARD_HANDLE|DUPLICATE_COLOUR|PRICE_VARIANCE
MIM-T-chelsea-wallet,Chelsea Wallet,Large Wallet,chelsea-wallet-60309166-982,Walnut,1,Y,Chelsea Wallet,,,99,No Size,,gid://shopify/Product/7986367987802,chelsea-wallet-60309166,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-chelsea-wallet,Chelsea Wallet,Large Wallet,chelsea-wallet-60309167-6525,Pink Dust,2,Y,Chelsea Wallet,,,99,No Size,,gid://shopify/Product/7986368151642,chelsea-wallet-60309167,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-classico-duo-card-wallet,Classico Duo Card Wallet,Large Wallet,classico-duo-card-wallet-60277382-106,Eggshell,1,Y,Classico Duo Card Wallet,,,39,No Size,,gid://shopify/Product/7986294095962,classico-duo-card-wallet-60277382,OVERSIZED|SINGLETON_PARENT|NONSTANDARD_HANDLE|PRICE_VARIANCE
MIM-T-classico-duo-card-wallet,Classico Duo Card Wallet,Large Wallet,classico-duo-card-wallet-60277859-1492,Black Rose Gold,2,Y,Classico Duo Card Wallet,,,49,No Size,,gid://shopify/Product/7986291277914,classico-duo-card-wallet-60277859,OVERSIZED|SINGLETON_PARENT|NONSTANDARD_HANDLE|PRICE_VARIANCE
MIM-T-classico-duo-card-wallet,Classico Duo Card Wallet,Large Wallet,classico-duo-card-wallet-60277860-9621,Black Gunmetal,3,Y,Classico Duo Card Wallet,,,49,No Size,,gid://shopify/Product/7986291408986,classico-duo-card-wallet-60277860,OVERSIZED|SINGLETON_PARENT|NONSTANDARD_HANDLE|PRICE_VARIANCE
MIM-T-classico-duo-card-wallet,Classico Duo Card Wallet,Large Wallet,classico-duo-card-wallet-60277891-3637,Black Light Gold,4,Y,Classico Duo Card Wallet,,,49,No Size,,gid://shopify/Product/7986292064346,classico-duo-card-wallet-60277891,OVERSIZED|SINGLETON_PARENT|NONSTANDARD_HANDLE|PRICE_VARIANCE
