style_group_id,parent_title,parent_type,child_handle,colour_name,swatch_order,approved,_child_title,_style_code,_colour_code,_price,_size_scale,_code_spread,_source_parent_id,_source_parent_handle,_flags
MIM-T-a-little-crush-necklace,A Little Crush Necklace,Neck,a-little-crush-necklace-60308274-908,Gold,1,Y,A Little Crush Necklace,,,49,No Size,,gid://shopify/Product/7986361991258,a-little-crush-necklace-60308274,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-a-little-crush-necklace,A Little Crush Necklace,Neck,a-little-crush-necklace-60308275-901,Silver,2,Y,A Little Crush Necklace,,,49,No Size,,gid://shopify/Product/7986362122330,a-little-crush-necklace-60308275,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-a-love-story-necklace,A Love Story Necklace,Neck,a-love-story-necklace-60306883-901,Silver,1,Y,A Love Story Necklace,,,69,No Size,,gid://shopify/Product/7986353668186,a-love-story-necklace-60306883,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-a-love-story-necklace,A Love Story Necklace,Neck,a-love-story-necklace-60306884-908,Gold,2,Y,A Love Story Necklace,,,99,No Size,,gid://shopify/Product/7986353832026,a-love-story-necklace-60306884,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-adore-heart-necklace,Adore Heart Necklace,Neck,adore-heart-necklace-60321433-908,Gold,1,Y,Adore Heart Necklace,,,129.95,No Size,,gid://shopify/Product/7986426478682,adore-heart-necklace-60321433,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-adore-heart-necklace,Adore Heart Necklace,Neck,adore-heart-necklace-60321434-901,Silver,2,Y,Adore Heart Necklace,,,129.95,No Size,,gid://shopify/Product/7986426708058,adore-heart-necklace-60321434,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-affaire-necklace,Affaire Necklace,Neck,affaire-necklace-60312038-901,Silver,1,Y,Affaire Necklace,,,69,No Size,,gid://shopify/Product/7986379227226,affaire-necklace-60312038,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-affaire-necklace,Affaire Necklace,Neck,affaire-necklace-60294789-277,Soft Gold,2,Y,Affaire Necklace,,,69,No Size,,gid://shopify/Product/7986508431450,affaire-necklace-60294789,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-affaire-necklace,Affaire Necklace,Neck,affaire-necklace-60294790-9568,Soft Silver,3,Y,Affaire Necklace,,,69,No Size,,gid://shopify/Product/7986508660826,affaire-necklace-60294790,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-affaire-necklace,Affaire Necklace,Neck,affaire-necklace-60302721-9570,Rose Gold,4,Y,Affaire Necklace,,,69,No Size,,gid://shopify/Product/7986531926106,affaire-necklace-60302721,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-alluring-long-necklace,Alluring Long Necklace,Neck,alluring-long-necklace-60313829-901,Silver,1,Y,Alluring Long Necklace,,,59,No Size,,gid://shopify/Product/7986389844058,alluring-long-necklace-60313829,SINGLETON_PARENT|NONSTANDARD_HANDLE|PRICE_VARIANCE
MIM-T-alluring-long-necklace,Alluring Long Necklace,Neck,alluring-long-necklace-60313813-908,Gold,2,Y,Alluring Long Necklace,,,99.95,No Size,,gid://shopify/Product/7986390663258,alluring-long-necklace-60313813,SINGLETON_PARENT|NONSTANDARD_HANDLE|PRICE_VARIANCE
MIM-T-alluring-long-necklace,Alluring Long Necklace,Neck,alluring-long-necklace-60313814-9570,Rose Gold,3,Y,Alluring Long Necklace,,,59,No Size,,gid://shopify/Product/7986390794330,alluring-long-necklace-60313814,SINGLETON_PARENT|NONSTANDARD_HANDLE|PRICE_VARIANCE
MIM-T-amulet-duo-necklace,Amulet Duo Necklace,Neck,amulet-duo-necklace-60321410-908,Gold,1,Y,Amulet Duo Necklace,,,99.95,No Size,,gid://shopify/Product/7986427330650,amulet-duo-necklace-60321410,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-amulet-duo-necklace,Amulet Duo Necklace,Neck,amulet-duo-necklace-60321411-901,Silver,2,Y,Amulet Duo Necklace,,,99.95,No Size,,gid://shopify/Product/7986427494490,amulet-duo-necklace-60321411,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-amulet-duo-necklace,Amulet Duo Necklace,Neck,amulet-duo-necklace-60321412-9570,Rose Gold,3,Y,Amulet Duo Necklace,,,99.95,No Size,,gid://shopify/Product/7986427723866,amulet-duo-necklace-60321412,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-anthem-necklace,Anthem Necklace,Neck,anthem-necklace-60300523-908,Gold,1,Y,Anthem Necklace,,,49,No Size,,gid://shopify/Product/7986516623450,anthem-necklace-60300523,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-anthem-necklace,Anthem Necklace,Neck,anthem-necklace-60300524-901,Silver,2,Y,Anthem Necklace,,,49,No Size,,gid://shopify/Product/7986516852826,anthem-necklace-60300524,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-anthem-necklace,Anthem Necklace,Neck,anthem-necklace-60302518-9570,Rose Gold,3,Y,Anthem Necklace,,,49,No Size,,gid://shopify/Product/7986528321626,anthem-necklace-60302518,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-armonia-necklace,Armonia Necklace,Neck,armonia-necklace-60294798-9573,Multicolour,1,Y,Armonia Necklace,,,69,No Size,,gid://shopify/Product/7986509742170,armonia-necklace-60294798,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-armonia-necklace,Armonia Necklace,Neck,armonia-necklace-60294799-901,Silver,2,Y,Armonia Necklace,,,49,No Size,,gid://shopify/Product/7986509840474,armonia-necklace-60294799,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-atomic-heart-cord-necklace,Atomic Heart Cord Necklace,Neck,atomic-heart-cord-necklace-60306895-611,Claret,1,Y,Atomic Heart Cord Necklace,,,29,No Size,,gid://shopify/Product/7986352029786,atomic-heart-cord-necklace-60306895,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-atomic-heart-cord-necklace,Atomic Heart Cord Necklace,Neck,atomic-heart-cord-necklace-60308526-1,Black,2,Y,Atomic Heart Cord Necklace,,,39,No Size,,gid://shopify/Product/7986364317786,atomic-heart-cord-necklace-60308526,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-baby-bow-necklace,Baby Bow Necklace,Neck,baby-bow-necklace-60313957-908,Gold,1,Y,Baby Bow Necklace,,,49,No Size,,gid://shopify/Product/7986395119706,baby-bow-necklace-60313957,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-baby-bow-necklace,Baby Bow Necklace,Neck,baby-bow-necklace-60313958-901,Silver,2,Y,Baby Bow Necklace,,,39,No Size,,gid://shopify/Product/7986392301658,baby-bow-necklace-60313958,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-baby-bow-necklace,Baby Bow Necklace,Neck,baby-bow-necklace-60313959-9570,Rose Gold,3,Y,Baby Bow Necklace,,,49,No Size,,gid://shopify/Product/7986392399962,baby-bow-necklace-60313959,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-bequest-necklace,Bequest Necklace,Neck,bequest-necklace-60313825-9570,Rose Gold,1,Y,Bequest Necklace,,,129.95,No Size,,gid://shopify/Product/7986389450842,bequest-necklace-60313825,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-bequest-necklace,Bequest Necklace,Neck,bequest-necklace-60313826-908,Gold,2,Y,Bequest Necklace,,,129.95,No Size,,gid://shopify/Product/7986389581914,bequest-necklace-60313826,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-charmed-necklace,Charmed Necklace,Neck,charmed-necklace-60308141-908,Gold,1,Y,Charmed Necklace,,,69,No Size,,gid://shopify/Product/7986360451162,charmed-necklace-60308141,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-charmed-necklace,Charmed Necklace,Neck,charmed-necklace-60308142-9570,Rose Gold,2,Y,Charmed Necklace,,,69,No Size,,gid://shopify/Product/7986360549466,charmed-necklace-60308142,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-charmed-necklace,Charmed Necklace,Neck,charmed-necklace-60309539-901,Silver,3,Y,Charmed Necklace,,,69,No Size,,gid://shopify/Product/7986370379866,charmed-necklace-60309539,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-circulate-chain-necklace,Circulate Chain Necklace,Neck,circulate-chain-necklace-60306575-908,Gold,1,Y,Circulate Chain Necklace,,,49,No Size,,gid://shopify/Product/7986349506650,circulate-chain-necklace-60306575,SINGLETON_PARENT|NONSTANDARD_HANDLE|PRICE_VARIANCE
MIM-T-circulate-chain-necklace,Circulate Chain Necklace,Neck,circulate-chain-necklace-60306576-901,Silver,2,Y,Circulate Chain Necklace,,,29,No Size,,gid://shopify/Product/7986349637722,circulate-chain-necklace-60306576,SINGLETON_PARENT|NONSTANDARD_HANDLE|PRICE_VARIANCE
MIM-T-circulate-chain-necklace,Circulate Chain Necklace,Neck,circulate-chain-necklace-60306577-9570,Rose Gold,3,Y,Circulate Chain Necklace,,,49,No Size,,gid://shopify/Product/7986349867098,circulate-chain-necklace-60306577,SINGLETON_PARENT|NONSTANDARD_HANDLE|PRICE_VARIANCE
MIM-T-circulate-necklace,Circulate Necklace,Neck,circulate-necklace-60310077-901,Silver,1,Y,Circulate Necklace,,,89.95,No Size,,gid://shopify/Product/7986371264602,circulate-necklace-60310077,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-circulate-necklace,Circulate Necklace,Neck,circulate-necklace-60294736-908,Gold,2,Y,Circulate Necklace,,,89.95,No Size,,gid://shopify/Product/7986503417946,circulate-necklace-60294736,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-circulate-necklace,Circulate Necklace,Neck,circulate-necklace-60294737-9570,Rose Gold,3,Y,Circulate Necklace,,,89.95,No Size,,gid://shopify/Product/7986503549018,circulate-necklace-60294737,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-circulate-pearl-necklace,Circulate Pearl Necklace,Neck,circulate-pearl-necklace-60306578-908,Gold,1,Y,Circulate Pearl Necklace,,,49,No Size,,gid://shopify/Product/7986350063706,circulate-pearl-necklace-60306578,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-circulate-pearl-necklace,Circulate Pearl Necklace,Neck,circulate-pearl-necklace-60306579-901,Silver,2,Y,Circulate Pearl Necklace,,,49,No Size,,gid://shopify/Product/7986350227546,circulate-pearl-necklace-60306579,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-circulate-pearl-necklace,Circulate Pearl Necklace,Neck,circulate-pearl-necklace-60306580-9570,Rose Gold,3,Y,Circulate Pearl Necklace,,,49,No Size,,gid://shopify/Product/7986350391386,circulate-pearl-necklace-60306580,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-connective-sterling-silver-necklace,Connective Sterling Silver Necklace,Neck,connective-sterling-silver-necklace-60266497-9570,Rose Gold,1,Y,Connective Sterling Silver Necklace,,,29,No Size,,gid://shopify/Product/7986278203482,connective-sterling-silver-necklace-60266497,SINGLETON_PARENT|NONSTANDARD_HANDLE|PRICE_VARIANCE
MIM-T-connective-sterling-silver-necklace,Connective Sterling Silver Necklace,Neck,connective-sterling-silver-necklace-60266500-901,Silver,2,Y,Connective Sterling Silver Necklace,,,19,No Size,,gid://shopify/Product/7986278367322,connective-sterling-silver-necklace-60266500,SINGLETON_PARENT|NONSTANDARD_HANDLE|PRICE_VARIANCE
