product_type,similarity,code_gap,title_a,handle_a,title_b,handle_b
Ear,0.976,,Fundamentals Sterling Silver Single Stud I,fundamentals-sterling-silver-single-stud-i-60266565-908,Fundamentals Sterling Silver Single Stud T,fundamentals-sterling-silver-single-stud-t-60266599-908
Ear,0.976,,Fundamentals Sterling Silver Single Stud I,fundamentals-sterling-silver-single-stud-i-60266565-908,Fundamentals Sterling Silver Single Stud U,fundamentals-sterling-silver-single-stud-u-60266602-901
Ear,0.976,,Fundamentals Sterling Silver Single Stud I,fundamentals-sterling-silver-single-stud-i-60266565-908,Fundamentals Sterling Silver Single Stud E,fundamentals-sterling-silver-single-stud-e-60266551-901
Ear,0.976,,Fundamentals Sterling Silver Single Stud T,fundamentals-sterling-silver-single-stud-t-60266599-908,Fundamentals Sterling Silver Single Stud U,fundamentals-sterling-silver-single-stud-u-60266602-901
Ear,0.976,,Fundamentals Sterling Silver Single Stud T,fundamentals-sterling-silver-single-stud-t-60266599-908,Fundamentals Sterling Silver Single Stud E,fundamentals-sterling-silver-single-stud-e-60266551-901
Ear,0.976,,Fundamentals Sterling Silver Single Stud U,fundamentals-sterling-silver-single-stud-u-60266602-901,Fundamentals Sterling Silver Single Stud E,fundamentals-sterling-silver-single-stud-e-60266551-901
Ear,0.975,,Beam Sterling Silver Single Stud Earring,beam-sterling-silver-single-stud-earring-60269120-9570,Beat Sterling Silver Single Stud Earring,beat-sterling-silver-single-stud-earring-60269128-901
Ear,0.955,,Typify Stud G Earrings,typify-stud-g-earrings-60251543-9570,Typify Stud K Earrings,typify-stud-k-earrings-60251586-901
Ear,0.953,,Pull Up to the Bumper Crystal Drop Earrings,pull-up-to-the-bumper-crystal-drop-earrings-60302570-9541,Pull Up to the Bumper Crystal Hoop Earrings,pull-up-to-the-bumper-crystal-hoop-earrings-60302574-9541
Ear,0.950,,Vision Hoop Earrings,vision-hoop-earrings-60282368-1,Vision Hook Earrings,vision-hook-earrings-60284365-9439
Ear,0.950,,Cipher Hook Earrings,cipher-hook-earrings-60289401-9570,Cipher Hoop Earrings,cipher-hoop-earrings-60289287-908
Ear,0.950,,Amulet Hoop Earring,amulet-hoop-earring-60321396-908,Amulet Hoop Earrings,amulet-hoop-earrings-60321397-901
Ear,0.947,,Flock Stud Earrings,flock-stud-earrings-60313941-901,Lock Stud Earrings,lock-stud-earrings-60314631-901
Ear,0.929,,An Enchantment Drop Earrings,an-enchantment-drop-earrings-60308093-908,An Enchantment Hoop Earrings,an-enchantment-hoop-earrings-60308075-908
Ear,0.927,,Pull Up to the Bumper Pearl Drop Earrings,pull-up-to-the-bumper-pearl-drop-earrings-60302573-84,Pull Up to the Bumper Small Drop Earrings,pull-up-to-the-bumper-small-drop-earrings-60302575-9541
Ear,0.923,,Bubbly Pearl Hoop Earrings,bubbly-pearl-hoop-earrings-60310627-84,Bubbly Pearl Drop Earrings,bubbly-pearl-drop-earrings-60310614-84
Ear,0.923,,Gilded Pearl Hoop Earrings,gilded-pearl-hoop-earrings-60316402-84,Gilded Pearl Drop Earrings,gilded-pearl-drop-earrings-60316404-84
Ear,0.920,,At the Ball Hoop Earrings,at-the-ball-hoop-earrings-60308161-908,At the Ball Drop Earrings,at-the-ball-drop-earrings-60309549-908
Ear,0.920,,Shellicious Hoop Earrings,shellicious-hoop-earrings-60314078-84,Shellicious Drop Earrings,shellicious-drop-earrings-60314089-84
Ear,0.917,,Reflection Drop Earrings,reflection-drop-earrings-60278855-908,Reflection Hoop Earrings,reflection-hoop-earrings-60278856-9570
Ear,0.913,,So Ornate Drop Earrings,so-ornate-drop-earrings-60307861-1,So Ornate Hoop Earrings,so-ornate-hoop-earrings-60307862-7508
Ear,0.913,,Tie a Bow Hoop Earrings,tie-a-bow-hoop-earrings-60316583-908,Tie a Bow Drop Earrings,tie-a-bow-drop-earrings-60316598-657
Ear,0.913,,Circulate Drop Earrings,circulate-drop-earrings-60294701-908,Circulate Hoop Earrings,circulate-hoop-earrings-60294716-9570
Ear,0.909,,Mini Mim Sterling Silver Single Stud Earring,mini-mim-sterling-silver-single-stud-earring-60273115-9570,Mini Mim Sterling Silver Single Pin Earring,mini-mim-sterling-silver-single-pin-earring-60274293-9570
Ear,0.909,,Sante Fe Drop Earrings,sante-fe-drop-earrings-60291939-7815,Sante Fe Hoop Earrings,sante-fe-hoop-earrings-60291801-6513
Ear,0.907,,Groove That Soothes Oversized Stud Earrings,groove-that-soothes-oversized-stud-earrings-60302428-908,Groove That Soothes Oversized Hoop Earrings,groove-that-soothes-oversized-hoop-earrings-60302429-908
Ear,0.907,,Pull Up to the Bumper Crystal Drop Earrings,pull-up-to-the-bumper-crystal-drop-earrings-60302570-9541,Pull Up to the Bumper Crystal Stud Earrings,pull-up-to-the-bumper-crystal-stud-earrings-60302572-9541
Ear,0.907,,Pull Up to the Bumper Crystal Stud Earrings,pull-up-to-the-bumper-crystal-stud-earrings-60302572-9541,Pull Up to the Bumper Crystal Hoop Earrings,pull-up-to-the-bumper-crystal-hoop-earrings-60302574-9541
Ear,0.905,,Dreamer Stud Earrings,dreamer-stud-earrings-60289344-4347,Dreamy Stud Earrings,dreamy-stud-earrings-60291740-7783
