timestamp,style_group_id,status,parent_id,parent_title,child_ids,child_handles,message
2026-09-04T06:08:26.695Z,MIM-T-aria-bowler-bag,CREATED,gid://shopify/Product/7986413699162,Aria Bowler Bag,gid://shopify/Product/7986198052954|gid://shopify/Product/7986198216794,aria-bowler-bag-60318110-1|aria-bowler-bag-60318113-602,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986413699162|gid://shopify/Product/7986413863002 REUSED_PARENT=gid://shopify/Product/7986413699162
2026-09-04T06:08:42.379Z,MIM-T-aura-grab-bag,CREATED,gid://shopify/Product/7986520784986,Aura Grab Bag,gid://shopify/Product/7986475532378|gid://shopify/Product/7986155192410|gid://shopify/Product/7986155356250|gid://shopify/Product/7986158698586|gid://shopify/Product/7986475728986,aura-grab-bag-60312081-126|aura-grab-bag-60312082-178|aura-grab-bag-60312837-240|aura-grab-bag-60300869-1|aura-grab-bag-60300870-291,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986381127770|gid://shopify/Product/7986381291610|gid://shopify/Product/7986383323226|gid://shopify/Product/7986520784986|gid://shopify/Product/7986520817754 REUSED_PARENT=gid://shopify/Product/7986520784986
2026-09-04T06:08:48.317Z,MIM-T-bianca-rouched-grab-bag,CREATED,gid://shopify/Product/7986381750362,Bianca Rouched Grab Bag,gid://shopify/Product/7986155749466|gid://shopify/Product/7986155421786,bianca-rouched-grab-bag-60312086-657|bianca-rouched-grab-bag-60312088-1,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986381455450|gid://shopify/Product/7986381750362 REUSED_PARENT=gid://shopify/Product/7986381750362
2026-09-04T06:08:59.102Z,MIM-T-blondie-basket-tote-bag,CREATED,gid://shopify/Product/7986330828890,Blondie Basket Tote Bag,gid://shopify/Product/7986090639450|gid://shopify/Product/7986160435290|gid://shopify/Product/7986160631898|gid://shopify/Product/7986162040922,blondie-basket-tote-bag-60297275-1|blondie-basket-tote-bag-60313189-1066|blondie-basket-tote-bag-60313194-1752|blondie-basket-tote-bag-60313692-9599,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986330828890|gid://shopify/Product/7986387877978|gid://shopify/Product/7986388107354|gid://shopify/Product/7986392039514 REUSED_PARENT=gid://shopify/Product/7986330828890
2026-09-04T06:09:41.450Z,MIM-T-blondie-boxy-tote-bag,CREATED,gid://shopify/Product/7986345050202,Blondie Boxy Tote Bag,gid://shopify/Product/7986113970266|gid://shopify/Product/7986114199642|gid://shopify/Product/7986124357722|gid://shopify/Product/7986138251354|gid://shopify/Product/7986142117978|gid://shopify/Product/7986158534746|gid://shopify/Product/7986160894042|gid://shopify/Product/7986178490458|gid://shopify/Product/7986183307354|gid://shopify/Product/7986183471194|gid://shopify/Product/7986198446170|gid://shopify/Product/7986198675546|gid://shopify/Product/7986198872154|gid://shopify/Product/7986211160154,blondie-boxy-tote-bag-60305934-1085|blondie-boxy-tote-bag-60305935-3012|blondie-boxy-tote-bag-60307934-1467|blondie-boxy-tote-bag-60309193-2683|blondie-boxy-tote-bag-60310180-1421|blondie-boxy-tote-bag-60313119-465|blondie-boxy-tote-bag-60312758-657|blondie-boxy-tote-bag-60314424-639|blondie-boxy-tote-bag-60314936-9599|blondie-boxy-tote-bag-60314937-3437|blondie-boxy-tote-bag-60318048-448|blondie-boxy-tote-bag-60318049-8934|blondie-boxy-tote-bag-60318050-908|blondie-boxy-tote-bag-60320610-200,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986345050202|gid://shopify/Product/7986345181274|gid://shopify/Product/7986356387930|gid://shopify/Product/7986367037530|gid://shopify/Product/7986369822810|gid://shopify/Product/7986386141274|gid://shopify/Product/7986382307418|gid://shopify/Product/7986400002138|gid://shopify/Product/7986402984026|gid://shopify/Product/7986403147866|gid://shopify/Product/7986413568090|gid://shopify/Product/7986413797466|gid://shopify/Product/7986413994074|gid://shopify/Product/7986423234650 REUSED_PARENT=gid://shopify/Product/7986345050202
2026-09-04T06:10:10.016Z,MIM-T-blondie-crossbody-bag,CREATED,gid://shopify/Product/7986345541722,Blondie Crossbody Bag,gid://shopify/Product/7986114494554|gid://shopify/Product/7986114297946|gid://shopify/Product/7986124521562|gid://shopify/Product/7986134941786|gid://shopify/Product/7986142249050|gid://shopify/Product/7986157813850|gid://shopify/Product/7986158731354|gid://shopify/Product/7986183635034|gid://shopify/Product/7986186518618,blondie-crossbody-bag-60305936-3012|blondie-crossbody-bag-60305937-1085|blondie-crossbody-bag-60307936-1467|blondie-crossbody-bag-60309194-2683|blondie-crossbody-bag-60310182-1421|blondie-crossbody-bag-60312760-657|blondie-crossbody-bag-60313121-465|blondie-crossbody-bag-60314939-9599|blondie-crossbody-bag-60316228-448,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986345377882|gid://shopify/Product/7986345541722|gid://shopify/Product/7986356551770|gid://shopify/Product/7986367201370|gid://shopify/Product/7986369986650|gid://shopify/Product/7986382569562|gid://shopify/Product/7986386337882|gid://shopify/Product/7986403311706|gid://shopify/Product/7986403999834 REUSED_PARENT=gid://shopify/Product/7986345541722
2026-09-04T06:10:18.328Z,MIM-T-blondie-mini-tote-bag,CREATED,gid://shopify/Product/7986414157914,Blondie Mini Tote Bag,gid://shopify/Product/7986199035994|gid://shopify/Product/7986199167066|gid://shopify/Product/7986199363674,blondie-mini-tote-bag-60318051-9599|blondie-mini-tote-bag-60318052-448|blondie-mini-tote-bag-60318053-8934,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986414157914|gid://shopify/Product/7986414354522|gid://shopify/Product/7986414583898 REUSED_PARENT=gid://shopify/Product/7986414157914
2026-09-04T06:10:27.031Z,MIM-T-blondie-mini-tote-crossbody-bag,CREATED,gid://shopify/Product/7986403639386,Blondie Mini Tote Crossbody Bag,gid://shopify/Product/7986183798874|gid://shopify/Product/7986183995482|gid://shopify/Product/7986199494746,blondie-mini-tote-crossbody-bag-60314940-1|blondie-mini-tote-crossbody-bag-60314941-3437|blondie-mini-tote-crossbody-bag-60318054-908,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986403639386|gid://shopify/Product/7986403868762|gid://shopify/Product/7986414780506 REUSED_PARENT=gid://shopify/Product/7986403639386
2026-09-04T06:10:32.153Z,MIM-T-blondie-tote-bag,CREATED,gid://shopify/Product/7986330501210,Blondie Tote Bag,gid://shopify/Product/7986090213466|gid://shopify/Product/7986090475610,blondie-tote-bag-60297272-1|blondie-tote-bag-60297273-1421,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986330501210|gid://shopify/Product/7986330665050 REUSED_PARENT=gid://shopify/Product/7986330501210
2026-09-04T06:10:43.015Z,MIM-T-brittany-mini-tote-bag,CREATED,gid://shopify/Product/7986413830234,Brittany Mini Tote Bag,gid://shopify/Product/7986199920730|gid://shopify/Product/7986196578394|gid://shopify/Product/7986196742234,brittany-mini-tote-bag-60318073-602|brittany-mini-tote-bag-60318074-1421|brittany-mini-tote-bag-60318072-234,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986413961306|gid://shopify/Product/7986414125146|gid://shopify/Product/7986413830234 REUSED_PARENT=gid://shopify/Product/7986413830234
