timestamp,style_group_id,status,parent_id,parent_title,child_ids,child_handles,message
2026-09-06T14:14:19.779Z,MIM-T-a-little-crush-stud-earrings,CREATED,gid://shopify/Product/7986364350554,A Little Crush Stud Earrings,gid://shopify/Product/7986132156506|gid://shopify/Product/7986132320346,a-little-crush-stud-earrings-60308270-901|a-little-crush-stud-earrings-60308271-908,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986364350554|gid://shopify/Product/7986364481626 REUSED_PARENT=gid://shopify/Product/7986364350554
2026-09-06T14:14:23.788Z,MIM-T-a-love-story-hoop-earrings,CREATED,gid://shopify/Product/7986353471578,A Love Story Hoop Earrings,gid://shopify/Product/7986119508058|gid://shopify/Product/7986122981466,a-love-story-hoop-earrings-60306882-901|a-love-story-hoop-earrings-60306881-908,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986353471578|gid://shopify/Product/7986353340506 REUSED_PARENT=gid://shopify/Product/7986353471578
2026-09-06T14:14:28.100Z,MIM-T-abundance-stone-stud-earrings,CREATED,gid://shopify/Product/7986423464026,Abundance Stone Stud Earrings,gid://shopify/Product/7986217549914|gid://shopify/Product/7986230984794,abundance-stone-stud-earrings-60321374-433|abundance-stone-stud-earrings-60323027-974,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986423464026|gid://shopify/Product/7986429329498 REUSED_PARENT=gid://shopify/Product/7986423464026
2026-09-06T14:14:34.445Z,MIM-T-adorbs-enamel-stud-earrings,CREATED,gid://shopify/Product/7986391744602,Adorbs Enamel Stud Earrings,gid://shopify/Product/7986165612634|gid://shopify/Product/7986165776474|gid://shopify/Product/7986180063322,adorbs-enamel-stud-earrings-60313798-657|adorbs-enamel-stud-earrings-60313799-1|adorbs-enamel-stud-earrings-60314614-126,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986391744602|gid://shopify/Product/7986391908442|gid://shopify/Product/7986401280090 REUSED_PARENT=gid://shopify/Product/7986391744602
2026-09-06T14:14:38.352Z,MIM-T-adorbs-heart-hoop-earrings,CREATED,gid://shopify/Product/7986389876826,Adorbs Heart Hoop Earrings,gid://shopify/Product/7986167480410|gid://shopify/Product/7986167709786,adorbs-heart-hoop-earrings-60313808-1|adorbs-heart-hoop-earrings-60313809-657,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986389876826|gid://shopify/Product/7986390040666 REUSED_PARENT=gid://shopify/Product/7986389876826
2026-09-06T14:14:42.425Z,MIM-T-adorbs-heart-stud-earrings,CREATED,gid://shopify/Product/7986392072282,Adorbs Heart Stud Earrings,gid://shopify/Product/7986165940314|gid://shopify/Product/7986166169690,adorbs-heart-stud-earrings-60313800-1|adorbs-heart-stud-earrings-60313801-657,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986392072282|gid://shopify/Product/7986392137818 REUSED_PARENT=gid://shopify/Product/7986392072282
2026-09-06T14:14:49.142Z,MIM-T-adorbs-hoop-earrings,CREATED,gid://shopify/Product/7986391122010,Adorbs Hoop Earrings,gid://shopify/Product/7986165350490|gid://shopify/Product/7986165481562|gid://shopify/Product/7986168332378,adorbs-hoop-earrings-60313842-908|adorbs-hoop-earrings-60313843-901|adorbs-hoop-earrings-60313841-9570,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986391122010|gid://shopify/Product/7986391285850|gid://shopify/Product/7986390958170 REUSED_PARENT=gid://shopify/Product/7986391122010
2026-09-06T14:14:53.177Z,MIM-T-adorbs-pearl-earrings,CREATED,gid://shopify/Product/7986396069978,Adorbs Pearl Earrings,gid://shopify/Product/7986177376346|gid://shopify/Product/7986180751450,adorbs-pearl-earrings-60314074-9570|adorbs-pearl-earrings-60314073-908,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986396069978|gid://shopify/Product/7986395906138 REUSED_PARENT=gid://shopify/Product/7986396069978
2026-09-06T14:14:57.681Z,MIM-T-adore-heart-hoop-earrings,CREATED,gid://shopify/Product/7986427822170,Adore Heart Hoop Earrings,gid://shopify/Product/7986215977050|gid://shopify/Product/7986216206426,adore-heart-hoop-earrings-60321442-908|adore-heart-hoop-earrings-60321443-901,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986427822170|gid://shopify/Product/7986427986010 REUSED_PARENT=gid://shopify/Product/7986427822170
2026-09-06T14:15:01.984Z,MIM-T-adventure-stud-earrings,CREATED,gid://shopify/Product/7986510299226,Adventure Stud Earrings,gid://shopify/Product/7986464784474|gid://shopify/Product/7986464948314,adventure-stud-earrings-60294818-901|adventure-stud-earrings-60294819-908,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986510299226|gid://shopify/Product/7986510430298 REUSED_PARENT=gid://shopify/Product/7986510299226
