timestamp,style_group_id,status,parent_id,parent_title,child_ids,child_handles,message
2026-09-06T14:45:46.315Z,MIM-T-azealia-bead-hat,CREATED,gid://shopify/Product/7986540281946,Azealia Bead Hat,gid://shopify/Product/7986495291482|gid://shopify/Product/7986495455322,azealia-bead-hat-60325976-200|azealia-bead-hat-60326026-2344,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986540281946|gid://shopify/Product/7986540413018 REUSED_PARENT=gid://shopify/Product/7986540281946
2026-09-06T14:45:52.970Z,MIM-T-ball-scrunchie,CREATED,gid://shopify/Product/7986369953882,Ball Scrunchie,gid://shopify/Product/7986142150746|gid://shopify/Product/7986178359386|gid://shopify/Product/7986178555994,ball-scrunchie-60309458-611|ball-scrunchie-60314535-657|ball-scrunchie-60314537-4155,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986369953882|gid://shopify/Product/7986399871066|gid://shopify/Product/7986400034906 REUSED_PARENT=gid://shopify/Product/7986369953882
2026-09-06T14:45:57.272Z,MIM-T-bejewel-scrunchie,CREATED,gid://shopify/Product/7986411470938,Bejewel Scrunchie,gid://shopify/Product/7986195628122|gid://shopify/Product/7986195497050,bejewel-scrunchie-60316733-124|bejewel-scrunchie-60316739-1,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986411274330|gid://shopify/Product/7986411470938 REUSED_PARENT=gid://shopify/Product/7986411470938
2026-09-06T14:46:06.694Z,MIM-T-charm-scrunchie,CREATED,gid://shopify/Product/7986421923930,Charm Scrunchie,gid://shopify/Product/7986211192922|gid://shopify/Product/7986185076826|gid://shopify/Product/7986185240666|gid://shopify/Product/7986211323994,charm-scrunchie-60315847-7658|charm-scrunchie-60315849-126|charm-scrunchie-60319636-6012|charm-scrunchie-60319637-657,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986404261978|gid://shopify/Product/7986404393050|gid://shopify/Product/7986421923930|gid://shopify/Product/7986422087770 REUSED_PARENT=gid://shopify/Product/7986421923930
2026-09-06T14:46:12.939Z,MIM-T-chill-pin-set,CREATED,gid://shopify/Product/8028718465114,Chill Pin Set,gid://shopify/Product/8028714991706|gid://shopify/Product/8028715090010|gid://shopify/Product/8028715155546,chill-pin-set-60326460-4066|chill-pin-set-60326461-993|chill-pin-set-60326462-569,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/8028718465114|gid://shopify/Product/8028718530650|gid://shopify/Product/8028718628954 REUSED_PARENT=gid://shopify/Product/8028718465114
2026-09-06T14:46:17.139Z,MIM-T-dizzy-dots-large-scarf,CREATED,gid://shopify/Product/7986426413146,Dizzy Dots Large Scarf,gid://shopify/Product/7986224201818|gid://shopify/Product/7986224365658,dizzy-dots-large-scarf-60321481-1|dizzy-dots-large-scarf-60321483-200,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986426413146|gid://shopify/Product/7986426576986 REUSED_PARENT=gid://shopify/Product/7986426413146
2026-09-06T14:46:21.780Z,MIM-T-glam-bow-hair-barrette,CREATED,gid://shopify/Product/7986396561498,Glam Bow Hair Barrette,gid://shopify/Product/7986171740250|gid://shopify/Product/7986171904090,glam-bow-hair-barrette-60313988-1|glam-bow-hair-barrette-60313989-1625,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986396561498|gid://shopify/Product/7986396758106 REUSED_PARENT=gid://shopify/Product/7986396561498
2026-09-06T14:46:26.252Z,MIM-T-groove-that-soothes-hair-tie,CREATED,gid://shopify/Product/7986524487770,Groove That Soothes Hair Tie,gid://shopify/Product/7986479530074|gid://shopify/Product/7986479726682,groove-that-soothes-hair-tie-60302434-908|groove-that-soothes-hair-tie-60302435-901,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986524487770|gid://shopify/Product/7986524651610 REUSED_PARENT=gid://shopify/Product/7986524487770
2026-09-06T14:46:33.214Z,MIM-T-in-love-hair-claw-clip,CREATED,gid://shopify/Product/7986406195290,In Love Hair Claw Clip,gid://shopify/Product/7986190385242|gid://shopify/Product/7986190319706|gid://shopify/Product/7986190483546,in-love-hair-claw-clip-60316623-174|in-love-hair-claw-clip-60316455-84|in-love-hair-claw-clip-60316624-6012,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986409668698|gid://shopify/Product/7986406195290|gid://shopify/Product/7986409799770 REUSED_PARENT=gid://shopify/Product/7986406195290
2026-09-06T14:46:37.311Z,MIM-T-in-love-hair-tie,CREATED,gid://shopify/Product/7986412060762,In Love Hair Tie,gid://shopify/Product/7986192744538|gid://shopify/Product/7986195693658,in-love-hair-tie-60316743-657|in-love-hair-tie-60317396-1357,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986412060762|gid://shopify/Product/7986410750042 REUSED_PARENT=gid://shopify/Product/7986412060762
2026-09-06T14:46:41.612Z,MIM-T-just-say-bow-scrunchie,CREATED,gid://shopify/Product/7986355142746,Just Say Bow Scrunchie,gid://shopify/Product/7986121343066|gid://shopify/Product/7986121441370,just-say-bow-scrunchie-60307757-1|just-say-bow-scrunchie-60307758-686,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986355142746|gid://shopify/Product/7986355372122 REUSED_PARENT=gid://shopify/Product/7986355142746
2026-09-06T14:46:45.436Z,MIM-T-loop-de-loop-claw,CREATED,gid://shopify/Product/7986539233370,Loop De Loop Claw,gid://shopify/Product/7986490081370|gid://shopify/Product/7986490277978,loop-de-loop-claw-60325342-1357|loop-de-loop-claw-60325343-382,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986539233370|gid://shopify/Product/7986539561050 REUSED_PARENT=gid://shopify/Product/7986539233370
2026-09-06T14:46:57.177Z,MIM-T-lovely-hair-comb-keyring,CREATED,gid://shopify/Product/7986397511770,Lovely Hair Comb Keyring,gid://shopify/Product/7986169643098|gid://shopify/Product/7986169774170|gid://shopify/Product/7986178031706|gid://shopify/Product/7986178195546|gid://shopify/Product/7986203295834,lovely-hair-comb-keyring-60314024-1357|lovely-hair-comb-keyring-60314025-657|lovely-hair-comb-keyring-60314532-101|lovely-hair-comb-keyring-60314533-4155|lovely-hair-comb-keyring-60319335-84,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986397511770|gid://shopify/Product/7986397708378|gid://shopify/Product/7986399641690|gid://shopify/Product/7986399772762|gid://shopify/Product/7986416517210 REUSED_PARENT=gid://shopify/Product/7986397511770
2026-09-06T14:47:06.187Z,MIM-T-lovely-hair-tie-set,CREATED,gid://shopify/Product/7986395643994,Lovely Hair Tie Set,gid://shopify/Product/7986171478106|gid://shopify/Product/7986171314266|gid://shopify/Product/7986177474650|gid://shopify/Product/7986180718682,lovely-hair-tie-set-60314033-657|lovely-hair-tie-set-60314034-1|lovely-hair-tie-set-60314528-101|lovely-hair-tie-set-60314527-4155,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986398855258|gid://shopify/Product/7986395643994|gid://shopify/Product/7986399150170|gid://shopify/Product/7986398953562 REUSED_PARENT=gid://shopify/Product/7986395643994
2026-09-06T14:47:12.845Z,MIM-T-lover-hair-tie,CREATED,gid://shopify/Product/7986410815578,Lover Hair Tie,gid://shopify/Product/7986195595354|gid://shopify/Product/7986195726426|gid://shopify/Product/7986201034842,lover-hair-tie-60317809-1|lover-hair-tie-60317810-6121|lover-hair-tie-60318204-6012,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986410815578|gid://shopify/Product/7986410946650|gid://shopify/Product/7986416058458 REUSED_PARENT=gid://shopify/Product/7986410815578
2026-09-06T14:47:16.836Z,MIM-T-make-a-bow-hair-tie,CREATED,gid://shopify/Product/7986390466650,Make a Bow Hair Tie,gid://shopify/Product/7986164269146|gid://shopify/Product/7986164432986,make-a-bow-hair-tie-60313791-1|make-a-bow-hair-tie-60313792-7658,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986390466650|gid://shopify/Product/7986390696026 REUSED_PARENT=gid://shopify/Product/7986390466650
2026-09-06T14:47:20.730Z,MIM-T-marguerite-claw-clip-set,CREATED,gid://shopify/Product/7986420514906,Marguerite Claw Clip Set,gid://shopify/Product/7986204508250|gid://shopify/Product/7986204999770,marguerite-claw-clip-set-60319368-1|marguerite-claw-clip-set-60319392-84,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986420514906|gid://shopify/Product/7986421071962 REUSED_PARENT=gid://shopify/Product/7986420514906
