timestamp,style_group_id,status,parent_id,parent_title,child_ids,child_handles,message
2026-09-06T15:15:32.297Z,MIM-T-arc-large-wallet,CREATED,gid://shopify/Product/7986368020570,Arc Large Wallet,gid://shopify/Product/7986135990362|gid://shopify/Product/7986136154202,arc-large-wallet-60309214-9501|arc-large-wallet-60309216-2348,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986368020570|gid://shopify/Product/7986368184410 REUSED_PARENT=gid://shopify/Product/7986368020570
2026-09-06T15:15:44.670Z,MIM-T-bay-small-wallet,CREATED,gid://shopify/Product/7986380636250,Bay Small Wallet,gid://shopify/Product/7986151293018|gid://shopify/Product/7986151522394|gid://shopify/Product/7986151719002|gid://shopify/Product/7986151915610|gid://shopify/Product/7986183503962,bay-small-wallet-60311940-1|bay-small-wallet-60311941-974|bay-small-wallet-60311942-2351|bay-small-wallet-60311946-100|bay-small-wallet-60314974-9501,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986380636250|gid://shopify/Product/7986380767322|gid://shopify/Product/7986380931162|gid://shopify/Product/7986381095002|gid://shopify/Product/7986403049562 REUSED_PARENT=gid://shopify/Product/7986380636250
2026-09-06T15:15:54.505Z,MIM-T-bay-wallet,CREATED,gid://shopify/Product/7986380374106,Bay Wallet,gid://shopify/Product/7986150834266|gid://shopify/Product/7986151063642|gid://shopify/Product/7986152636506|gid://shopify/Product/7986183274586,bay-wallet-60311938-974|bay-wallet-60311939-2351|bay-wallet-60311850-1|bay-wallet-60314972-9501,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986380374106|gid://shopify/Product/7986380505178|gid://shopify/Product/7986379128922|gid://shopify/Product/7986402885722 REUSED_PARENT=gid://shopify/Product/7986380374106
2026-09-06T15:15:59.115Z,MIM-T-believer-wallet-cross-body-bag,CREATED,gid://shopify/Product/7986285051994,Believer Wallet Cross Body Bag,gid://shopify/Product/7986038702170|gid://shopify/Product/7986038898778,believer-wallet-cross-body-bag-60269440-1492|believer-wallet-cross-body-bag-60269443-9420,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986285051994|gid://shopify/Product/7986285215834 REUSED_PARENT=gid://shopify/Product/7986285051994
2026-09-06T15:16:03.207Z,MIM-T-chelsea-wallet,CREATED,gid://shopify/Product/7986367987802,Chelsea Wallet,gid://shopify/Product/7986135400538|gid://shopify/Product/7986135629914,chelsea-wallet-60309166-982|chelsea-wallet-60309167-6525,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986367987802|gid://shopify/Product/7986368151642 REUSED_PARENT=gid://shopify/Product/7986367987802
2026-09-06T15:16:35.769Z,MIM-T-classico-duo-card-wallet,CREATED,gid://shopify/Product/7986294095962,Classico Duo Card Wallet,gid://shopify/Product/7986046402650|gid://shopify/Product/7986047647834|gid://shopify/Product/7986047844442|gid://shopify/Product/7986048696410|gid://shopify/Product/7986048860250|gid://shopify/Product/7986049187930|gid://shopify/Product/7986054070362|gid://shopify/Product/7986059411546|gid://shopify/Product/7986073731162|gid://shopify/Product/7986463604826|gid://shopify/Product/7986463735898|gid://shopify/Product/7986463899738|gid://shopify/Product/7986464129114,classico-duo-card-wallet-60277382-106|classico-duo-card-wallet-60277859-1492|classico-duo-card-wallet-60277860-9621|classico-duo-card-wallet-60277891-3637|classico-duo-card-wallet-60277892-2351|classico-duo-card-wallet-60277921-974|classico-duo-card-wallet-60281025-100|classico-duo-card-wallet-60283944-7929|classico-duo-card-wallet-60288568-7870|classico-duo-card-wallet-60295990-3454|classico-duo-card-wallet-60295991-6011|classico-duo-card-wallet-60295992-7658|classico-duo-card-wallet-60295993-116,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986294095962|gid://shopify/Product/7986291277914|gid://shopify/Product/7986291408986|gid://shopify/Product/7986292064346|gid://shopify/Product/7986292293722|gid://shopify/Product/7986292949082|gid://shopify/Product/7986296488026|gid://shopify/Product/7986301042778|gid://shopify/Product/7986313658458|gid://shopify/Product/7986509185114|gid://shopify/Product/7986509381722|gid://shopify/Product/7986509545562|gid://shopify/Product/7986509774938 REUSED_PARENT=gid://shopify/Product/7986294095962
2026-09-06T15:16:40.070Z,MIM-T-cove-foldover-credit-card-holder,CREATED,gid://shopify/Product/7986385092698,Cove Foldover Credit Card Holder,gid://shopify/Product/7986155978842|gid://shopify/Product/7986155782234,cove-foldover-credit-card-holder-60312113-908|cove-foldover-credit-card-holder-60312114-1,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986384961626|gid://shopify/Product/7986385092698 REUSED_PARENT=gid://shopify/Product/7986385092698
2026-09-06T15:16:44.268Z,MIM-T-cove-large-wallet,CREATED,gid://shopify/Product/7986384535642,Cove Large Wallet,gid://shopify/Product/7986155454554|gid://shopify/Product/7986155618394,cove-large-wallet-60312111-1|cove-large-wallet-60312112-2348,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986384535642|gid://shopify/Product/7986384765018 REUSED_PARENT=gid://shopify/Product/7986384535642
2026-09-06T15:16:48.260Z,MIM-T-cremorne-l-wlt,CREATED,gid://shopify/Product/7986345476186,Cremorne L Wlt,gid://shopify/Product/7986110562394|gid://shopify/Product/7986110726234,cremorne-l-wlt-60305811-9439|cremorne-l-wlt-60305812-3637,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986345476186|gid://shopify/Product/7986345640026 REUSED_PARENT=gid://shopify/Product/7986345476186
2026-09-06T15:16:52.703Z,MIM-T-cremorne-large-wallet,CREATED,gid://shopify/Product/7986359861338,Cremorne Large Wallet,gid://shopify/Product/7986129535066|gid://shopify/Product/7986129666138,cremorne-large-wallet-60308101-3637|cremorne-large-wallet-60308102-9439,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986359861338|gid://shopify/Product/7986360025178 REUSED_PARENT=gid://shopify/Product/7986359861338
