timestamp,style_group_id,status,parent_id,parent_title,child_ids,child_handles,message
2026-09-06T20:57:54.823Z,MIM-T-a-little-crush-necklace,CREATED,gid://shopify/Product/7986361991258,A Little Crush Necklace,gid://shopify/Product/7986132779098|gid://shopify/Product/7986132942938,a-little-crush-necklace-60308274-908|a-little-crush-necklace-60308275-901,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986361991258|gid://shopify/Product/7986362122330 REUSED_PARENT=gid://shopify/Product/7986361991258
2026-09-06T20:57:58.611Z,MIM-T-a-love-story-necklace,CREATED,gid://shopify/Product/7986353668186,A Love Story Necklace,gid://shopify/Product/7986119704666|gid://shopify/Product/7986119835738,a-love-story-necklace-60306883-901|a-love-story-necklace-60306884-908,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986353668186|gid://shopify/Product/7986353832026 REUSED_PARENT=gid://shopify/Product/7986353668186
2026-09-06T20:58:02.650Z,MIM-T-adore-heart-necklace,CREATED,gid://shopify/Product/7986426478682,Adore Heart Necklace,gid://shopify/Product/7986217779290|gid://shopify/Product/7986217910362,adore-heart-necklace-60321433-908|adore-heart-necklace-60321434-901,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986426478682|gid://shopify/Product/7986426708058 REUSED_PARENT=gid://shopify/Product/7986426478682
2026-09-06T20:58:11.203Z,MIM-T-affaire-necklace,CREATED,gid://shopify/Product/7986379227226,Affaire Necklace,gid://shopify/Product/7986156634202|gid://shopify/Product/7986462720090|gid://shopify/Product/7986462851162|gid://shopify/Product/7986482118746,affaire-necklace-60312038-901|affaire-necklace-60294789-277|affaire-necklace-60294790-9568|affaire-necklace-60302721-9570,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986379227226|gid://shopify/Product/7986508431450|gid://shopify/Product/7986508660826|gid://shopify/Product/7986531926106 REUSED_PARENT=gid://shopify/Product/7986379227226
2026-09-06T20:58:17.809Z,MIM-T-alluring-long-necklace,CREATED,gid://shopify/Product/7986389844058,Alluring Long Necklace,gid://shopify/Product/7986167185498|gid://shopify/Product/7986168463450|gid://shopify/Product/7986168594522,alluring-long-necklace-60313829-901|alluring-long-necklace-60313813-908|alluring-long-necklace-60313814-9570,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986389844058|gid://shopify/Product/7986390663258|gid://shopify/Product/7986390794330 REUSED_PARENT=gid://shopify/Product/7986389844058
2026-09-06T20:58:24.213Z,MIM-T-amulet-duo-necklace,CREATED,gid://shopify/Product/7986427330650,Amulet Duo Necklace,gid://shopify/Product/7986218631258|gid://shopify/Product/7986218795098|gid://shopify/Product/7986219024474,amulet-duo-necklace-60321410-908|amulet-duo-necklace-60321411-901|amulet-duo-necklace-60321412-9570,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986427330650|gid://shopify/Product/7986427494490|gid://shopify/Product/7986427723866 REUSED_PARENT=gid://shopify/Product/7986427330650
2026-09-06T20:58:30.457Z,MIM-T-anthem-necklace,CREATED,gid://shopify/Product/7986516623450,Anthem Necklace,gid://shopify/Product/7986471239770|gid://shopify/Product/7986471338074|gid://shopify/Product/7986484314202,anthem-necklace-60300523-908|anthem-necklace-60300524-901|anthem-necklace-60302518-9570,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986516623450|gid://shopify/Product/7986516852826|gid://shopify/Product/7986528321626 REUSED_PARENT=gid://shopify/Product/7986516623450
2026-09-06T20:58:34.759Z,MIM-T-armonia-necklace,CREATED,gid://shopify/Product/7986509742170,Armonia Necklace,gid://shopify/Product/7986464030810|gid://shopify/Product/7986464194650,armonia-necklace-60294798-9573|armonia-necklace-60294799-901,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986509742170|gid://shopify/Product/7986509840474 REUSED_PARENT=gid://shopify/Product/7986509742170
2026-09-06T20:58:38.512Z,MIM-T-atomic-heart-cord-necklace,CREATED,gid://shopify/Product/7986352029786,Atomic Heart Cord Necklace,gid://shopify/Product/7986121080922|gid://shopify/Product/7986133074010,atomic-heart-cord-necklace-60306895-611|atomic-heart-cord-necklace-60308526-1,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986352029786|gid://shopify/Product/7986364317786 REUSED_PARENT=gid://shopify/Product/7986352029786
2026-09-06T20:58:45.512Z,MIM-T-baby-bow-necklace,CREATED,gid://shopify/Product/7986395119706,Baby Bow Necklace,gid://shopify/Product/7986170724442|gid://shopify/Product/7986170888282|gid://shopify/Product/7986171052122,baby-bow-necklace-60313957-908|baby-bow-necklace-60313958-901|baby-bow-necklace-60313959-9570,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986395119706|gid://shopify/Product/7986392301658|gid://shopify/Product/7986392399962 REUSED_PARENT=gid://shopify/Product/7986395119706
2026-09-06T20:58:49.504Z,MIM-T-bequest-necklace,CREATED,gid://shopify/Product/7986389450842,Bequest Necklace,gid://shopify/Product/7986166726746|gid://shopify/Product/7986166857818,bequest-necklace-60313825-9570|bequest-necklace-60313826-908,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986389450842|gid://shopify/Product/7986389581914 REUSED_PARENT=gid://shopify/Product/7986389450842
