handle,title,product_type,status
nightlife-envelope-60215000-706,Nightlife Envelope,Bags Leather,ACTIVE
waver-petite-tote-60222972-3600,Waver Petite Tote,Bags Leather,DRAFT
daydream-hip-bag-60223061-9621,Daydream Hip Bag,Bags Leather,DRAFT
daydream-hip-bag-60223221-706,Daydream Hip Bag,Bags Leather,ACTIVE
leather-protector-24422670-999,LEATHER PROTECTOR,Bags Leather,DRAFT
supernatural-mini-tote-bag-60183652-1,Supernatural Mini Tote Bag,Bags Leather,DRAFT
sublime-worker-60228145-1492,Sublime Worker,Bags Leather,ACTIVE
flip-side-tote-60228153-1492,Flip Side Tote,Bags Leather,ACTIVE
leather-cream-24548441-999,LEATHER CREAM,Bags Leather,DRAFT
network-tote-60228170-3622,Network Tote,Bags Leather,DRAFT
ebb-and-flow-clutch-60228248-124,Ebb and Flow Clutch,Bags Leather,ACTIVE
petite-supernatural-60210043-6012,Petite Supernatural,Bags Leather,DRAFT
supernatural-mini-60210047-181,Supernatural Mini,Bags Leather,DRAFT
daydream-hip-bag-60214334-1,Daydream Hip Bag,Bags Leather,DRAFT
sublime-sling-hip-bag-60232468-1492,Sublime Sling Hip Bag,Bags Leather,ACTIVE
daydream-hip-bag-60232485-1781,Daydream Hip Bag,Bags Leather,DRAFT
mim-couch-bag-60237707-1,Mim Couch Bag,Bags Leather,DRAFT
sublime-tote-60236420-1492,Sublime Tote,Bags Leather,DRAFT
mim-couch-bag-60239556-1492,Mim Couch Bag,Bags Leather,DRAFT
moontide-pouche-60236426-3617,Moontide Pouche,Bags Leather,DRAFT
sublime-sling-hip-bag-60239558-3034,Sublime Sling Hip Bag,Bags Leather,ACTIVE
willow-pouche-60239577-9027,Willow Pouche,Bags Leather,ACTIVE
willow-tote-60239578-1781,Willow Tote,Bags Leather,ACTIVE
flip-side-tote-60242786-9865,Flip Side Tote,Bags Leather,DRAFT
daydream-hip-bag-60242787-290,Daydream Hip Bag,Bags Leather,ACTIVE
sublime-box-tote-bag-60242800-1492,Sublime Box Tote Bag,Bags Leather,DRAFT
turnlock-hip-bag-60242803-9621,Turnlock Hip Bag,Bags Leather,DRAFT
flip-side-flapover-hip-bag-60242817-1492,Flip Side Flapover Hip Bag,Bags Leather,ACTIVE
flip-side-mini-tote-bag-60242820-974,Flip Side Mini Tote Bag,Bags Leather,ACTIVE
sublime-midi-hip-bag-60237266-1492,Sublime Midi Hip Bag,Bags Leather,ACTIVE
trinity-clutch-60242865-9570,Trinity Clutch,Bags Leather,ACTIVE
daydream-hip-bag-60243709-9830,Daydream Hip Bag,Bags Leather,ACTIVE
trinity-clutch-bag-60246406-614,Trinity Clutch Bag,Bags Leather,ACTIVE
daydream-hip-bag-60243711-9864,Daydream Hip Bag,Bags Leather,ACTIVE
azureus-hardcase-evening-clutch-bag-60246410-614,Azureus Hardcase Evening Clutch Bag,Bags Leather,ACTIVE
turnlock-bucket-bag-60244051-263,Turnlock Bucket Bag,Bags Leather,DRAFT
leather-solis-tote-bag-60251722-9935,Leather Solis Tote Bag,Bags Leather,ACTIVE
sublime-midi-hip-bag-60252054-124,Sublime Midi Hip Bag,Bags Leather,DRAFT
eco-leather-protector-60249219-1,Eco Leather Protector,Bags Leather,ACTIVE
daydream-hip-bag-60250941-124,Daydream Hip Bag,Bags Leather,ACTIVE
leather-serene-cross-body-bag-60250329-1492,Leather Serene Cross Body Bag,Bags Leather,ACTIVE
turnlock-sling-bag-60252414-974,Turnlock Sling Bag,Bags Leather,ACTIVE
leather-fantasy-cross-body-bag-60250333-9923,Leather Fantasy Cross Body Bag,Bags Leather,ACTIVE
leather-everly-cross-body-bag-60250335-974,Leather Everly Cross Body Bag,Bags Leather,ACTIVE
leather-everly-tote-bag-60250338-1492,Leather Everly Tote Bag,Bags Leather,ACTIVE
majesty-evening-bag-60255353-974,Majesty Evening Bag,Bags Leather,ACTIVE
d-vine-small-cross-body-bag-60252973-1492,D-Vine Small Cross Body Bag,Bags Leather,ACTIVE
d-vine-crossbody-bag-60252977-1492,D-Vine Crossbody Bag,Bags Leather,ACTIVE
d-vine-cross-body-bag-60252978-9514,D-Vine Cross Body Bag,Bags Leather,ACTIVE
fantasy-cross-body-bag-60256004-9621,Fantasy Cross Body Bag,Bags Leather,ACTIVE
d-vine-tote-bag-60252981-1492,D-Vine Tote Bag,Bags Leather,DRAFT
majesty-clutch-bag-60256666-974,Majesty Clutch Bag,Bags Leather,ACTIVE
d-vine-bucket-bag-60255285-6012,D-Vine Bucket Bag,Bags Leather,ACTIVE
bloom-tote-bag-60255296-1492,Bloom Tote Bag,Bags Leather,ACTIVE
bloom-micro-tote-bag-60255298-100,Bloom Micro Tote Bag,Bags Leather,ACTIVE
bloom-micro-tote-bag-60255299-6697,Bloom Micro Tote Bag,Bags Leather,ACTIVE
vivid-cross-body-bag-60255302-6626,Vivid Cross Body Bag,Bags Leather,ACTIVE
d-vine-crossbody-bag-60258656-974,D-Vine Crossbody Bag,Bags Leather,ACTIVE
electro-tote-bag-60255322-3637,Electro Tote Bag,Bags Leather,ACTIVE
diversa-bowler-bag-60258667-100,Diversa Bowler Bag,Bags Leather,ACTIVE
bloom-mini-tote-bag-60258683-974,Bloom Mini Tote Bag,Bags Leather,ACTIVE
mim-mazing-cross-body-60255829-1492,Mim-Mazing Cross Body,Bags Leather,ACTIVE
electro-sling-cross-body-bag-60258690-1,Electro Sling Cross Body Bag,Bags Leather,ACTIVE
majesty-evening-bag-60255352-9621,Majesty Evening Bag,Bags Leather,ACTIVE
electro-sling-cross-body-bag-60259246-974,Electro Sling Cross Body Bag,Bags Leather,ACTIVE
bloom-clutch-evening-bag-60258721-115,Bloom Clutch Evening Bag,Bags Leather,ACTIVE
bloom-clutch-evening-bag-60262994-7009,Bloom Clutch Evening Bag,Bags Leather,ACTIVE
drama-shoulder-bag-60258725-3637,Drama Shoulder Bag,Bags Leather,ACTIVE
majesty-cross-body-bag-60263032-9961,Majesty Cross Body Bag,Bags Leather,ACTIVE
d-vine-cross-body-bag-60262724-9529,D-Vine Cross Body Bag,Bags Leather,ACTIVE
d-vine-crossbody-bag-60262725-2351,D-Vine Crossbody Bag,Bags Leather,ACTIVE
mim-mazing-cross-body-bag-60265015-9529,Mim-Mazing Cross Body Bag,Bags Leather,DRAFT
mim-mazing-duo-cross-body-bag-60266731-1492,Mim-Mazing Duo Cross Body Bag,Bags Leather,ACTIVE
mim-mazing-duo-crossbody-bag-60266732-9621,Mim-Mazing Duo Crossbody Bag,Bags Leather,DRAFT
animalia-small-bowler-bag-60265026-3637,Animalia Small Bowler Bag,Bags Leather,DRAFT
unite-cross-body-bag-60265049-9529,Unite Cross Body Bag,Bags Leather,ACTIVE
mim-mazing-crossbody-bag-60266735-1492,Mim-Mazing Crossbody Bag,Bags Leather,DRAFT
mim-mazing-crossbody-bag-60266736-9621,Mim-Mazing Crossbody Bag,Bags Leather,ACTIVE
bloom-mini-clutch-bag-60265059-9841,Bloom Mini Clutch Bag,Bags Leather,ACTIVE
d-vine-sling-crossbody-bag-60266738-1492,D-Vine Sling Crossbody Bag,Bags Leather,ACTIVE
d-vine-sling-crossbody-bag-60266739-2351,D-Vine Sling Crossbody Bag,Bags Leather,ACTIVE
mim-mazing-mini-tote-bag-60266791-1492,Mim-Mazing Mini Tote Bag,Bags Leather,ACTIVE
cocoon-2006-cross-body-bag-60266808-4211,Cocoon 2006 Cross Body Bag,Bags Leather,ACTIVE
fintasia-2013-tote-bag-60266811-706,Fintasia 2013 Tote Bag,Bags Leather,ACTIVE
unite-cross-body-bag-60266835-974,Unite Cross Body Bag,Bags Leather,DRAFT
mim-mazing-duo-crossbody-bag-60268854-2351,Mim-Mazing Duo Crossbody Bag,Bags Leather,ACTIVE
mim-mazing-crossbody-bag-60268855-2351,Mim-Mazing Crossbody Bag,Bags Leather,ACTIVE
classico-crescent-crossbody-bag-60269205-3637,Classico Crescent Crossbody Bag,Bags Leather,ACTIVE
classico-crescent-crossbody-bag-60269206-2351,Classico Crescent Crossbody Bag,Bags Leather,ACTIVE
mim-mazing-duo-crossbody-bag-60269410-9420,Mim-Mazing Duo Crossbody Bag,Bags Leather,ACTIVE
mim-mazing-crossbody-bag-60269411-100,Mim-Mazing Crossbody Bag,Bags Leather,ACTIVE
d-vine-sling-crossbody-bag-60270520-100,D-Vine Sling Crossbody Bag,Bags Leather,ACTIVE
bloom-micro-crossbody-bag-60270526-3637,Bloom Micro Crossbody Bag,Bags Leather,DRAFT
curl-crescent-bag-60270532-9376,Curl Crescent Bag,Bags Leather,ACTIVE
bloom-mini-tote-bag-60270544-8916,Bloom Mini Tote Bag,Bags Leather,DRAFT
savor-hobo-bag-60270546-974,Savor Hobo Bag,Bags Leather,ACTIVE
d-vine-mini-tote-bag-60270738-1492,D-Vine Mini Tote Bag,Bags Leather,ACTIVE
savor-hobo-bag-60270548-9420,Savor Hobo Bag,Bags Leather,ACTIVE
d-vine-mini-tote-bag-60270739-2351,D-Vine Mini Tote Bag,Bags Leather,DRAFT
sacred-mini-tote-bag-60270559-971,Sacred Mini Tote Bag,Bags Leather,ACTIVE
d-vine-mini-tote-bag-60270740-974,D-Vine Mini Tote Bag,Bags Leather,DRAFT
