handle,title,product_type,status
lucytote-24509725-1344,LUCYTOTE,Bags Non Leather,DRAFT
hydro-tote-60228192-1,Hydro Tote,Bags Non Leather,DRAFT
echo-backpack-60228643-3631,Echo Backpack,Bags Non Leather,DRAFT
hydro-laptop-bag-60228965-1,Hydro Laptop Bag,Bags Non Leather,DRAFT
waver-baby-bag-60232576-1492,Waver Baby Bag,Bags Non Leather,DRAFT
waver-baby-backpack-60239582-9621,Waver Baby Backpack,Bags Non Leather,ACTIVE
lucy-packable-tote-60242841-3714,Lucy Packable Tote,Bags Non Leather,ACTIVE
sonic-shopper-60242844-598,Sonic Shopper,Bags Non Leather,ACTIVE
lovers-knot-hip-bag-60242862-9907,Lovers Knot Hip Bag,Bags Non Leather,DRAFT
vista-backpack-60246372-1492,Vista Backpack,Bags Non Leather,ACTIVE
serenity-packable-backpack-60250372-9966,Serenity Packable Backpack,Bags Non Leather,ACTIVE
serenity-backpack-60250375-1492,Serenity Backpack,Bags Non Leather,DRAFT
vista-suitcase-60246379-1492,Vista Suitcase,Bags Non Leather,ACTIVE
serenity-gym-bag-60252206-1492,Serenity Gym Bag,Bags Non Leather,ACTIVE
vista-tote-bag-60250361-9964,Vista Tote Bag,Bags Non Leather,ACTIVE
serenity-packable-backpack-60250371-1,Serenity Packable Backpack,Bags Non Leather,ACTIVE
daydream-north-south-tote-bag-60245529-1492,Daydream North South Tote Bag,Bags Non Leather,DRAFT
daydream-zip-backpack-60245530-1492,Daydream Zip Backpack,Bags Non Leather,DRAFT
vista-satchel-cross-body-bag-60246371-1492,Vista Satchel Cross Body Bag,Bags Non Leather,DRAFT
vista-mini-tote-bag-60255327-9432,Vista Mini Tote Bag,Bags Non Leather,ACTIVE
super-cycle-backpack-60255348-1492,Super-Cycle Backpack,Bags Non Leather,ACTIVE
vista-mini-tote-bag-60258699-9961,Vista Mini Tote Bag,Bags Non Leather,ACTIVE
mim-mazing-zip-backpack-60258705-1492,Mim-Mazing Zip Backpack,Bags Non Leather,ACTIVE
serenity-tote-bag-60259133-448,Serenity Tote Bag,Bags Non Leather,ACTIVE
mim-mazing-north-south-tote-bag-60258706-1492,Mim-Mazing North South Tote Bag,Bags Non Leather,ACTIVE
mim-mazing-baby-backpack-60258707-1492,Mim-Mazing Baby Backpack,Bags Non Leather,DRAFT
intwine-tote-bag-60262961-974,Intwine Tote Bag,Bags Non Leather,ACTIVE
mim-mazing-baby-bag-60258708-1492,Mim-Mazing Baby Bag,Bags Non Leather,DRAFT
intwine-basket-bag-60262963-1492,Intwine Basket Bag,Bags Non Leather,ACTIVE
sultra-basket-tote-bag-60258711-1,Sultra Basket Tote Bag,Bags Non Leather,ACTIVE
serenity-laptop-bag-60262966-1492,Serenity Laptop Bag,Bags Non Leather,ACTIVE
mim-mazing-satchel-60262740-1492,Mim-Mazing Satchel,Bags Non Leather,ACTIVE
mim-mazing-baby-bag-60266387-9621,Mim-Mazing Baby Bag,Bags Non Leather,ACTIVE
mim-mazing-baby-backpack-60266388-9621,Mim-Mazing Baby Backpack,Bags Non Leather,ACTIVE
serenity-mini-tote-bag-60265054-1492,Serenity Mini Tote Bag,Bags Non Leather,ACTIVE
mim-mazing-baby-bag-60266801-9817,Mim-Mazing Baby Bag,Bags Non Leather,ACTIVE
est-96-backpack-60266847-459,Est. 96 Backpack,Bags Non Leather,ACTIVE
tsavo-mini-tote-bag-60266851-9573,Tsavo Mini Tote Bag,Bags Non Leather,ACTIVE
paradise-basket-tote-bag-60269417-115,Paradise Basket Tote Bag,Bags Non Leather,ACTIVE
super-cycle-belt-bag-60270563-2351,Super-Cycle Belt Bag,Bags Non Leather,ACTIVE
crossbody-bag-60270565-2351,Crossbody Bag,Bags Non Leather,ACTIVE
serenity-carry-all-tote-bag-60270567-1492,Serenity Carry All Tote Bag,Bags Non Leather,ACTIVE
serenity-carry-all-tote-bag-60270573-448,Serenity Carry All Tote Bag,Bags Non Leather,ACTIVE
serenity-crescent-crossbody-bag-60270575-1492,Serenity Crescent Crossbody Bag,Bags Non Leather,ACTIVE
serenity-crescent-crossbody-bag-60270577-2351,Serenity Crescent Crossbody Bag,Bags Non Leather,ACTIVE
serenity-crescent-crossbody-bag-60270580-9271,Serenity Crescent Crossbody Bag,Bags Non Leather,ACTIVE
serenity-gym-bag-60270586-2351,Serenity Gym Bag,Bags Non Leather,ACTIVE
mim-tote-bag-60270591-1492,Mim-Tote Bag,Bags Non Leather,ACTIVE
mim-cooler-crossbody-bag-60270595-1492,Mim-Cooler Crossbody Bag,Bags Non Leather,ACTIVE
expanse-crossbody-bag-60270598-974,Expanse Crossbody Bag,Bags Non Leather,ACTIVE
prickly-pear-bucket-bag-60274439-3637,Prickly Pear Bucket Bag,Bags Non Leather,ACTIVE
prickly-pear-tote-bag-60274440-3637,Prickly Pear Tote Bag,Bags Non Leather,DRAFT
mode-tote-bag-60274458-9601,Mode Tote Bag,Bags Non Leather,ACTIVE
mim-gram-crossbody-bag-60274465-3637,Mim-Gram Crossbody Bag,Bags Non Leather,ACTIVE
mim-gram-bowler-bag-60274467-3637,Mim-Gram Bowler Bag,Bags Non Leather,ACTIVE
mim-gram-tote-bag-60274468-3637,Mim-Gram Tote Bag,Bags Non Leather,ACTIVE
flight-mini-tote-bag-60277325-9439,Flight Mini Tote Bag,Bags Non Leather,ACTIVE
flight-mini-tote-bag-60277337-3637,Flight Mini Tote Bag,Bags Non Leather,ACTIVE
flight-backpack-bag-60277345-3637,Flight Backpack Bag,Bags Non Leather,ACTIVE
est-96-crossbody-bag-60277536-115,Est. 96 Crossbody Bag,Bags Non Leather,ACTIVE
est-96-tote-bag-60277538-115,Est. 96 Tote Bag,Bags Non Leather,ACTIVE
flight-camera-crossbody-bag-60276314-3637,Flight Camera Crossbody Bag,Bags Non Leather,ACTIVE
flight-tote-bag-60276315-3637,Flight Tote Bag,Bags Non Leather,ACTIVE
est-96-tech-crossbody-bag-60277445-115,Est. 96 Tech Crossbody Bag,Bags Non Leather,ACTIVE
est-96-tote-bag-60277299-1492,Est. 96 Tote Bag,Bags Non Leather,ACTIVE
mim-tote-bag-60277307-2351,Mim-Tote Bag,Bags Non Leather,ACTIVE
mim-mazing-nappy-bag-60277308-1492,Mim-Mazing Nappy Bag,Bags Non Leather,ACTIVE
reclaim-tote-bag-60277322-1492,Reclaim Tote Bag,Bags Non Leather,ACTIVE
est-96-crossbody-bag-60278022-459,Est. 96 Crossbody Bag,Bags Non Leather,ACTIVE
est-96-duo-crossbody-bag-60278023-459,Est. 96 Duo Crossbody Bag,Bags Non Leather,DRAFT
mim-gram-crescent-crossbody-bag-60281089-3637,Mim-Gram Crescent Crossbody Bag,Bags Non Leather,ACTIVE
mim-gram-vacay-tote-bag-60281090-1510,Mim-Gram Vacay Tote Bag,Bags Non Leather,ACTIVE
stevie-crossbody-bag-60281095-974,Stevie Crossbody Bag,Bags Non Leather,ACTIVE
stevie-crossbody-bag-60281098-3637,Stevie Crossbody Bag,Bags Non Leather,DRAFT
promenade-crossbody-bag-60281038-8916,Promenade Crossbody Bag,Bags Non Leather,ACTIVE
mim-gram-crescent-crossbody-bag-60281527-8078,Mim-Gram Crescent Crossbody Bag,Bags Non Leather,ACTIVE
mim-gram-crescent-crossbody-bag-60281528-3031,Mim-Gram Crescent Crossbody Bag,Bags Non Leather,ACTIVE
mim-gram-crescent-crossbody-bag-60281529-9921,Mim-Gram Crescent Crossbody Bag,Bags Non Leather,ACTIVE
mim-gram-mini-tote-bag-60281532-9921,Mim-Gram Mini Tote Bag,Bags Non Leather,DRAFT
mim-gram-mini-tote-bag-60281533-4084,Mim-Gram Mini Tote Bag,Bags Non Leather,ACTIVE
vacation-tote-bag-60281074-974,Vacation Tote Bag,Bags Non Leather,DRAFT
vacation-tote-bag-60281075-8813,Vacation Tote Bag,Bags Non Leather,ACTIVE
vacation-tote-bag-60281076-3637,Vacation Tote Bag,Bags Non Leather,ACTIVE
