handle,title,product_type,status
supermicra-stud-60198573-901,SUPERMICRA STUD - Silver,Ear,DRAFT
supermicra-stud-60198574-908,SUPERMICRA STUD - Gold,Ear,DRAFT
sirene-drop-earrings-60232045-3678,Sirene Drop Earrings,Ear,DRAFT
buoy-o-boy-earrings-60237394-9570,Buoy-O-Boy Earrings,Ear,ACTIVE
bloom-hook-earrings-60239838-901,Bloom Hook Earrings,Ear,ACTIVE
gaea-drop-earrings-60239846-448,Gaea Drop Earrings,Ear,ACTIVE
harmonyka-stud-60243342-9570,Harmonyka Stud,Ear,ACTIVE
harmonyka-stud-60243343-901,Harmonyka Stud,Ear,ACTIVE
arcus-drop-earrings-60243357-9570,Arcus Drop Earrings,Ear,ACTIVE
medium-lucid-hoop-earrings-60235958-9570,Medium Lucid Hoop Earrings,Ear,ACTIVE
tristone-stud-60243372-9570,Tristone Stud,Ear,DRAFT
daydream-stud-earrings-60243378-9570,Daydream Stud Earrings - Rose Gold,Ear,ACTIVE
daydream-stud-earrings-60243379-901,Daydream Stud Earrings - Silver,Ear,ACTIVE
daydream-stud-earrings-60243380-908,Daydream Stud Earrings - Gold,Ear,ACTIVE
octavia-stud-60243390-124,Octavia Stud,Ear,ACTIVE
biotica-earrings-60239799-100,Biotica Earrings,Ear,ACTIVE
lucent-hoop-earrings-60243558-9570,Lucent Hoop Earrings,Ear,ACTIVE
kindred-stud-60239811-901,Kindred Stud,Ear,DRAFT
lucent-hoop-earrings-60243559-901,Lucent Hoop Earrings,Ear,ACTIVE
grace-earrings-60243330-100,Grace Earrings,Ear,DRAFT
turnlock-thread-earrings-60243560-9570,Turnlock Thread Earrings,Ear,ACTIVE
cosmos-hook-earrings-60237302-9570,Cosmos Hook Earrings,Ear,DRAFT
aphodius-thread-earrings-60247046-9573,Aphodius Thread Earrings,Ear,DRAFT
typify-stud-g-earrings-60251543-9570,Typify Stud G Earrings,Ear,DRAFT
typify-stud-k-earrings-60251586-901,Typify Stud K Earrings,Ear,ACTIVE
lucent-hoop-earrings-60244121-908,Lucent Hoop Earrings,Ear,ACTIVE
safe-harbour-hoop-earrings-60244137-1492,Safe Harbour Hoop Earrings,Ear,ACTIVE
sauvage-stud-earrings-60246577-812,Sauvage Stud Earrings,Ear,DRAFT
nightshade-stud-earrings-60246613-9570,Nightshade Stud Earrings,Ear,ACTIVE
serpentine-drop-earrings-60246637-9573,Serpentine Drop Earrings,Ear,ACTIVE
lovelock-hoop-earrings-60246657-901,Lovelock Hoop Earrings,Ear,ACTIVE
amulet-drop-earrings-60244401-9865,Amulet Drop Earrings,Ear,ACTIVE
art-groupie-drop-earrings-60251191-9573,Art Groupie Drop Earrings,Ear,ACTIVE
mae-drop-earrings-60251241-9927,Mae Drop Earrings,Ear,ACTIVE
prowess-stud-earring-60251264-9570,Prowess Stud Earring,Ear,ACTIVE
pearl-of-wisdom-stud-60245135-901,Pearl of Wisdom Stud,Ear,ACTIVE
mae-stud-earrings-60251384-124,Mae Stud Earrings,Ear,ACTIVE
mae-stud-earrings-60251386-297,Mae Stud Earrings,Ear,ACTIVE
static-bar-stud-earring-60252921-9570,Static Bar Stud Earring,Ear,ACTIVE
static-bar-stud-earring-60252922-901,Static Bar Stud Earring,Ear,ACTIVE
cowry-single-stud-earring-60252928-9570,Cowry Single Stud Earring,Ear,ACTIVE
buoy-stud-earrings-60256288-908,Buoy Stud Earrings - Gold,Ear,ACTIVE
boundary-stud-earring-60256333-901,Boundary Stud Earring,Ear,ACTIVE
boundary-stud-earring-60256334-908,Boundary Stud Earring,Ear,ACTIVE
aerial-stud-earring-60256437-901,Aerial Stud Earring,Ear,ACTIVE
mim-mazing-hoop-earrings-60256162-9570,Mim-Mazing Hoop Earrings,Ear,ACTIVE
supercube-stud-earrings-60256174-9570,Supercube Stud Earrings,Ear,ACTIVE
orchestra-stud-earrings-60256184-9413,Orchestra Stud Earrings,Ear,DRAFT
orchestra-stud-earrings-60256185-444,Orchestra Stud Earrings,Ear,DRAFT
ornate-stud-earring-60256766-9570,Ornate Stud Earring,Ear,ACTIVE
ornate-stud-earring-60256769-908,Ornate Stud Earring,Ear,ACTIVE
rule-breaker-hoop-earrings-60253433-9855,Rule Breaker Hoop Earrings,Ear,ACTIVE
twyla-stud-earrings-60253473-416,Twyla Stud Earrings,Ear,ACTIVE
buoy-stud-earrings-60256286-9570,Buoy Stud Earrings - Rose Gold,Ear,ACTIVE
captive-statement-earrings-60253702-9573,Captive Statement Earrings,Ear,ACTIVE
buoy-stud-earrings-60256287-901,Buoy Stud Earrings - Silver,Ear,ACTIVE
flora-stud-earring-60260748-9570,Flora Stud Earring,Ear,ACTIVE
disco-stud-earrings-60260772-996,Disco Stud Earrings,Ear,ACTIVE
so-lucky-single-stud-earring-60261185-908,So Lucky Single Stud Earring,Ear,ACTIVE
so-lucky-single-stud-earring-60261186-901,So Lucky Single Stud Earring,Ear,ACTIVE
twirl-stud-earrings-60260639-9570,Twirl Stud Earrings,Ear,ACTIVE
twirl-enamel-stud-earrings-60260650-3228,Twirl Enamel Stud Earrings,Ear,ACTIVE
society-enamel-stud-earrings-60260652-1492,Society Enamel Stud Earrings,Ear,ACTIVE
fundamentals-sterling-silver-single-stud-i-60266565-908,Fundamentals Sterling Silver Single Stud I,Ear,ACTIVE
expression-stud-earrings-60263597-9570,Expression Stud Earrings,Ear,ACTIVE
fundamentals-sterling-silver-single-stud-t-60266599-908,Fundamentals Sterling Silver Single Stud T,Ear,ACTIVE
twinkle-drop-earrings-60263619-124,Twinkle Drop Earrings,Ear,ACTIVE
