handle,title,product_type,status
treasure-lace-up-60227463-1,Treasure Lace Up,Flats,DRAFT
amble-espadrille-60213922-1,Amble Espadrille,Flats,DRAFT
infinite-slipper-60240025-3617,Infinite Slipper,Flats,ACTIVE
arc-loafer-60237811-1,Arc Loafer,Flats,DRAFT
the-era-mule-60240048-1,The Era Mule,Flats,ACTIVE
seraph-ballet-60243109-901,Seraph Ballet,Flats,ACTIVE
mini-waver-ballet-60243123-705,Mini Waver Ballet,Flats,ACTIVE
daydream-ballet-60237102-120,Daydream Ballet,Flats,ACTIVE
valkyrie-slipper-60243128-1,Valkyrie Slipper,Flats,ACTIVE
sublime-loafer-60237129-1,Sublime Loafer,Flats,DRAFT
aviate-slipper-slides-60247458-115,Aviate Slipper Slides,Flats,ACTIVE
art-groupie-loafer-60250762-115,Art Groupie Loafer,Flats,ACTIVE
amore-loafers-60252900-1,Amore Loafers,Flats,ACTIVE
pixie-ballet-flats-60254331-9939,Pixie Ballet Flats,Flats,ACTIVE
pixie-ballet-flats-60254332-1,Pixie Ballet Flats,Flats,ACTIVE
bea-loafers-60253185-9939,Bea Loafers,Flats,ACTIVE
vivid-sneaker-60255794-100,Vivid Sneaker,Flats,ACTIVE
lively-slides-60259040-100,Lively Slides,Flats,ACTIVE
astro-sneakers-60259268-1,Astro Sneakers,Flats,ACTIVE
lively-loafers-60259453-290,Lively Loafers,Flats,ACTIVE
fabricate-loafers-60263379-1,Fabricate Loafers,Flats,ACTIVE
sultra-espadrilles-60259012-290,Sultra Espadrilles,Flats,ACTIVE
astro-sneakers-60259026-100,Astro Sneakers,Flats,ACTIVE
fleck-sneakers-60263388-974,Fleck Sneakers,Flats,ACTIVE
lively-slides-60259033-974,Lively Slides,Flats,ACTIVE
queen-b-sneakers-60265655-1,Queen B Sneakers,Flats,ACTIVE
optimist-sneakers-60264230-1,Optimist Sneakers,Flats,ACTIVE
queen-b-sneakers-60265871-100,Queen B Sneakers,Flats,ACTIVE
realms-ballet-flats-60265642-242,Realms Ballet Flats,Flats,ACTIVE
animalia-flats-60265653-1,Animalia Flats,Flats,ACTIVE
chronicle-slippers-60318035-602,Chronicle Slippers,Flats,ACTIVE
chronicle-slippers-60318036-657,Chronicle Slippers,Flats,ACTIVE
