handle,title,product_type,status
juxtapose-barette-hair-clip-60251406-277,Juxtapose Barette Hair Clip,Hair,ACTIVE
mim-locks-hair-clip-60251510-2936,Mim-Locks Hair Clip,Hair,ACTIVE
saint-lucia-ribbon-tie-60247101-9900,Saint Lucia Ribbon Tie,Hair,DRAFT
panama-hair-scarf-scrunchie-60247104-1,Panama Hair Scarf Scrunchie,Hair,DRAFT
mim-mane-hair-clip-60246475-2003,Mim-Mane Hair Clip,Hair,ACTIVE
mim-locks-hair-clip-60252859-9935,Mim-Locks Hair Clip,Hair,ACTIVE
calla-headband-60246306-9832,Calla Headband,Hair,ACTIVE
posy-hair-scarf-60253868-1,Posy Hair Scarf,Hair,ACTIVE
twirl-hair-clip-60260812-9498,Twirl Hair Clip,Hair,ACTIVE
disco-hair-clip-set-60260949-84,Disco Hair Clip Set,Hair,ACTIVE
miss-mim-hair-clip-60266327-1085,Miss Mim Hair Clip,Hair,ACTIVE
miss-mim-concord-hair-clip-60263675-1505,Miss Mim Concord Hair Clip,Hair,ACTIVE
miss-mim-concord-hair-clip-60263676-1085,Miss Mim Concord Hair Clip,Hair,ACTIVE
miss-mim-claw-hair-clip-60263677-1505,Miss Mim Claw Hair Clip,Hair,ACTIVE
miss-mim-hair-clip-60265888-242,Miss Mim Hair Clip,Hair,ACTIVE
miss-mim-claw-hair-clip-60263678-1085,Miss Mim Claw Hair Clip,Hair,ACTIVE
miss-mim-hair-claw-60265895-242,Miss Mim Hair Claw,Hair,ACTIVE
miss-mim-mini-claw-hair-clip-60263679-1505,Miss Mim Mini Claw Hair Clip,Hair,ACTIVE
miss-mim-mini-claw-hair-clip-60263680-1085,Miss Mim Mini Claw Hair Clip,Hair,DRAFT
frond-hair-clip-set-60265943-8941,Frond Hair Clip Set,Hair,ACTIVE
miss-mim-hair-clip-60267252-969,Miss Mim Hair Clip,Hair,ACTIVE
miss-mim-claw-hair-clip-60267260-9841,Miss Mim Claw Hair Clip,Hair,ACTIVE
ringlet-hair-pony-set-60267266-901,Ringlet Hair Pony Set,Hair,ACTIVE
ringlet-hair-pony-set-60267267-908,Ringlet Hair Pony Set,Hair,ACTIVE
miss-mim-hair-clip-60267298-9841,Miss Mim Hair Clip,Hair,ACTIVE
mim-twist-hair-pony-set-60267300-901,Mim-Twist Hair Pony Set,Hair,ACTIVE
mim-twist-hair-scrunchie-set-60267302-1,Mim-Twist Hair Scrunchie Set,Hair,DRAFT
innate-hair-clip-60267205-9855,Innate Hair Clip,Hair,ACTIVE
mim-twist-hair-scrunchie-set-60267303-969,Mim-Twist Hair Scrunchie Set,Hair,ACTIVE
paradise-hair-clip-set-60271361-9573,Paradise Hair Clip Set,Hair,ACTIVE
mim-twist-hair-scrunchie-set-60271363-3010,Mim-Twist Hair Scrunchie Set,Hair,ACTIVE
heirloom-hair-scarf-scrunchie-60273871-100,Heirloom Hair Scarf Scrunchie,Hair,ACTIVE
botanic-hair-scarf-scrunchie-60273872-9475,Botanic Hair Scarf Scrunchie,Hair,ACTIVE
forget-me-not-ribbon-hair-tie-60273874-100,Forget Me Not Ribbon Hair Tie,Hair,ACTIVE
miss-mim-mini-claw-hair-clip-60274188-8924,Miss Mim Mini Claw Hair Clip,Hair,ACTIVE
miss-mim-extra-large-claw-hair-clip-60274233-84,Miss Mim Extra Large Claw Hair Clip,Hair,ACTIVE
miss-mim-claw-hair-clip-60274240-1,Miss Mim Claw Hair Clip,Hair,ACTIVE
miss-mim-claw-hair-clip-60274242-84,Miss Mim Claw Hair Clip,Hair,DRAFT
miss-mim-extra-large-claw-hair-clip-60275364-1,Miss Mim Extra Large Claw Hair Clip,Hair,DRAFT
laika-hair-tie-60297082-908,Laika Hair Tie,Hair,DRAFT
moonrise-hair-tie-60297083-908,Moonrise Hair Tie - Gold,Hair,DRAFT
cool-cat-hair-tie-60298291-908,Cool Cat Hair Tie,Hair,DRAFT
one-way-or-another-hair-pin-set-60299132-84,One Way or Another Hair Pin Set,Hair,DRAFT
sensation-hair-tie-set-60299568-1,Sensation Hair Tie Set,Hair,ACTIVE
on-the-rocks-hair-pin-set-60299632-908,On the Rocks Hair Pin Set,Hair,DRAFT
on-the-rocks-hair-pin-set-60299633-901,On the Rocks Hair Pin Set,Hair,DRAFT
dazzle-headband-60304157-416,Dazzle Headband,Hair,DRAFT
dazzle-headband-60304158-901,Dazzle Headband,Hair,DRAFT
dazzle-scrunchie-60304159-416,Dazzle Scrunchie,Hair,DRAFT
one-way-hair-band-60307882-84,One Way Hair Band,Hair,DRAFT
just-say-bow-scrunchie-60307757-1,Just Say Bow Scrunchie,Hair,DRAFT
