handle,title,product_type,status
twist-shout-headpiece-60169083-1,Twist & Shout Headpiece,Hats,DRAFT
eventide-visor-60260884-115,Eventide Visor,Hats,ACTIVE
earth-gazer-bucket-hat-60267364-9429,Earth Gazer Bucket Hat,Hats,ACTIVE
paradise-sun-hat-60271115-1,Paradise Sun Hat,Hats,ACTIVE
paradise-sun-hat-60271116-9420,Paradise Sun Hat,Hats,ACTIVE
expanse-wide-brim-hat-60271121-115,Expanse Wide Brim Hat,Hats,ACTIVE
innate-visor-hat-60271176-115,Innate Visor Hat,Hats,ACTIVE
innate-visor-hat-60271177-1,Innate Visor Hat,Hats,ACTIVE
d-vine-fedora-hat-60271178-115,D-Vine Fedora Hat,Hats,ACTIVE
helios-sun-hat-60273836-115,Helios Sun Hat,Hats,ACTIVE
chambray-sun-hat-60274993-3474,Chambray Sun Hat,Hats,ACTIVE
space-dyed-beanie-60277076-84,Space Dyed Beanie,Hats,ACTIVE
verano-cap-60309453-321,Verano Cap,Hats,DRAFT
verano-cap-60310556-611,Verano Cap,Hats,DRAFT
verano-cap-60311074-657,Verano Cap,Hats,DRAFT
verano-cap-60311075-200,Verano Cap,Hats,DRAFT
verano-cap-60312911-200,Verano Cap,Hats,DRAFT
verano-cap-60312912-657,Verano Cap,Hats,DRAFT
verano-cap-60313787-4155,Verano Cap,Hats,DRAFT
verano-cap-60313788-101,Verano Cap,Hats,DRAFT
verano-cap-60302783-569,Verano Cap,Hats,DRAFT
verano-cap-60302784-1,Verano Cap,Hats,ACTIVE
verano-cap-60302968-2348,Verano Cap,Hats,ACTIVE
palmetto-bucket-hat-60324017-115,Palmetto Bucket Hat,Hats,DRAFT
sola-bucket-hat-60324021-200,Sola Bucket Hat,Hats,DRAFT
eos-cap-60325543-2344,Eos Cap,Hats,DRAFT
eos-cap-60325545-993,Eos Cap,Hats,DRAFT
eos-cap-60325546-4066,Eos Cap,Hats,DRAFT
