handle,title,product_type,status
arbor-pump-60240034-6121,Arbor Pump,Heels,ACTIVE
ardour-mule-60243117-1095,Ardour Mule,Heels,ACTIVE
honour-sandal-60243141-2351,Honour Sandal,Heels,ACTIVE
frame-kitten-heels-60250760-9912,Frame Kitten Heels,Heels,ACTIVE
rift-kitten-heels-60250772-1,Rift Kitten Heels,Heels,ACTIVE
carve-pump-heels-60250776-9965,Carve Pump Heels,Heels,ACTIVE
equator-sandals-60246867-1,Equator Sandals,Heels,ACTIVE
honour-sandal-60244449-178,Honour Sandal,Heels,ACTIVE
lucky-star-pump-heels-60253031-1,Lucky Star Pump Heels,Heels,ACTIVE
carve-glitter-pump-heels-60256609-9570,Carve Glitter Pump Heels,Heels,ACTIVE
carve-glitter-pump-heels-60254463-9921,Carve Glitter Pump Heels,Heels,ACTIVE
vivid-pump-heels-60255802-100,Vivid Pump Heels,Heels,ACTIVE
vivid-pump-heels-60255803-9965,Vivid Pump Heels,Heels,ACTIVE
carve-glitter-pump-heels-60255806-3718,Carve Glitter Pump Heels,Heels,ACTIVE
orchestra-pump-heels-60255807-3718,Orchestra Pump Heels,Heels,ACTIVE
allure-slingback-heels-60255811-908,Allure Slingback Heels,Heels,ACTIVE
cosmos-heels-60259443-9923,Cosmos Heels,Heels,ACTIVE
equinox-mules-60259451-908,Equinox Mules,Heels,ACTIVE
cosmos-mid-heels-60259536-526,Cosmos Mid Heels,Heels,ACTIVE
symphony-heels-60263725-7009,Symphony Heels,Heels,ACTIVE
fleck-platform-heels-60270398-1,Fleck Platform Heels,Heels,ACTIVE
