handle,title,product_type,status
sublime-medium-wallet-60243042-1492,Sublime Medium Wallet,Large Wallet,ACTIVE
super-duo-small-wallet-60243046-1,Super Duo Small Wallet,Large Wallet,ACTIVE
vista-large-wallet-60243057-1492,Vista Large Wallet,Large Wallet,ACTIVE
turnlock-extra-large-wallet-60243065-9621,Turnlock Extra Large Wallet,Large Wallet,ACTIVE
bliss-petite-fold-wallet-60243080-6562,Bliss Petite Fold Wallet,Large Wallet,ACTIVE
flip-side-passport-wallet-60243098-1492,Flip Side Passport Wallet,Large Wallet,DRAFT
waver-extra-large-wallet-60237059-1781,Waver Extra Large Wallet,Large Wallet,DRAFT
sentiment-extra-large-wallet-60239705-1492,Sentiment Extra Large Wallet,Large Wallet,ACTIVE
echo-coin-wallet-60244242-290,Echo Coin Wallet,Large Wallet,DRAFT
echo-coin-wallet-60244243-9864,Echo Coin Wallet,Large Wallet,DRAFT
d-vine-card-holder-60253121-1492,D-Vine Card Holder,Large Wallet,DRAFT
mim-duo-large-wallet-60255546-1492,Mim Duo Large Wallet,Large Wallet,ACTIVE
d-vine-medium-wallet-60253132-1492,D-Vine Medium Wallet,Large Wallet,ACTIVE
majesty-cross-body-wallet-60255554-124,Majesty Cross Body Wallet,Large Wallet,ACTIVE
d-vine-large-wallet-60253136-1492,D-VINE LARGE WALLET - Black Rose Gold,Large Wallet,DRAFT
majesty-cross-body-wallet-60255555-3637,Majesty Cross Body Wallet,Large Wallet,ACTIVE
d-vine-travel-wallet-60253139-1492,D-Vine Travel Wallet,Large Wallet,ACTIVE
electro-passport-holder-60255571-3637,Electro Passport Holder,Large Wallet,ACTIVE
unite-medium-wallet-60263245-3637,Unite Medium Wallet,Large Wallet,ACTIVE
mim-mazing-medium-wallet-60263165-9621,Mim-Mazing Medium Wallet,Large Wallet,DRAFT
d-vine-petite-wallet-60258835-974,D-Vine Petite Wallet,Large Wallet,ACTIVE
mim-mazing-medium-wallet-60258850-1492,Mim-Mazing Medium Wallet,Large Wallet,ACTIVE
bliss-medium-wallet-60263166-1492,Bliss Medium Wallet,Large Wallet,ACTIVE
mim-mazing-large-wallet-60258859-1,Mim-Mazing Large Wallet,Large Wallet,DRAFT
diversa-extra-large-wallet-60258866-974,Diversa Extra Large Wallet,Large Wallet,ACTIVE
mim-mazing-large-wallet-60262750-9621,Mim-Mazing Large Wallet,Large Wallet,DRAFT
animalia-extra-large-wallet-60265205-624,Animalia Extra Large Wallet,Large Wallet,ACTIVE
unite-medium-wallet-60265249-9529,Unite Medium Wallet - Moss Green,Large Wallet,DRAFT
unite-medium-wallet-60265250-505,Unite Medium Wallet,Large Wallet,ACTIVE
mim-mazing-medium-wallet-60266746-706,Mim-Mazing Medium Wallet,Large Wallet,ACTIVE
mim-mazing-large-wallet-60267695-1827,Mim-Mazing Large Wallet,Large Wallet,ACTIVE
mim-mazing-medium-wallet-60268858-2351,Mim-Mazing Medium Wallet,Large Wallet,ACTIVE
mim-mazing-large-wallet-60268859-2351,Mim-Mazing Large Wallet - Almond,Large Wallet,DRAFT
d-vine-small-wallet-60266989-1111,D-Vine Small Wallet,Large Wallet,ACTIVE
shine-medium-wallet-60266993-1492,Shine Medium Wallet,Large Wallet,ACTIVE
shine-large-wallet-60267011-9817,Shine Large Wallet,Large Wallet,ACTIVE
super-cycle-large-wallet-60267013-9817,Super-Cycle Large Wallet,Large Wallet,ACTIVE
unite-extra-large-wallet-60267015-974,Unite Extra Large Wallet,Large Wallet,DRAFT
classico-card-wallet-60270722-9420,Classico Card Wallet,Large Wallet,ACTIVE
believer-wallet-cross-body-bag-60269440-1492,Believer Wallet Cross Body Bag,Large Wallet,DRAFT
believer-wallet-cross-body-bag-60269443-9420,Believer Wallet Cross Body Bag,Large Wallet,ACTIVE
serenity-medium-wallet-60270823-1492,Serenity Medium Wallet,Large Wallet,ACTIVE
serenity-large-wallet-60270830-1492,Serenity Large Wallet,Large Wallet,ACTIVE
prickly-pear-petite-wallet-60274553-3637,Prickly Pear Petite Wallet,Large Wallet,DRAFT
lock-it-card-wallet-60274565-3637,Lock-It Card Wallet,Large Wallet,ACTIVE
d-vine-petite-wallet-60274598-8921,D-Vine Petite Wallet,Large Wallet,ACTIVE
harmony-coin-purse-60274745-9621,Harmony Coin Purse,Large Wallet,ACTIVE
mim-gram-medium-wallet-60274788-3637,Mim-Gram Medium Wallet,Large Wallet,ACTIVE
envelop-large-wallet-60276416-268,Envelop Large Wallet,Large Wallet,ACTIVE
classico-duo-card-wallet-60277382-106,Classico Duo Card Wallet,Large Wallet,DRAFT
stitch-wallet-crossbody-bag-60277391-1492,Stitch Wallet Crossbody Bag,Large Wallet,ACTIVE
classico-duo-card-wallet-60277859-1492,Classico Duo Card Wallet,Large Wallet,DRAFT
classico-duo-card-wallet-60277860-9621,Classico Duo Card Wallet,Large Wallet,ACTIVE
classico-duo-card-wallet-60277891-3637,Classico Duo Card Wallet,Large Wallet,DRAFT
classico-duo-card-wallet-60277892-2351,Classico Duo Card Wallet,Large Wallet,ACTIVE
classico-duo-card-wallet-60277921-974,Classico Duo Card Wallet,Large Wallet,DRAFT
harmony-coin-purse-60280325-2351,Harmony Coin Purse,Large Wallet,ACTIVE
harmony-coin-purse-60280327-8813,Harmony Coin Purse,Large Wallet,ACTIVE
classico-duo-card-wallet-60281025-100,Classico Duo Card Wallet,Large Wallet,DRAFT
mim-gram-credit-card-holder-60281035-4084,Mim-Gram Credit Card Holder,Large Wallet,DRAFT
vacation-petite-wallet-60281036-3637,Vacation Petite Wallet,Large Wallet,DRAFT
mim-mazing-large-wallet-60281049-974,Mim-Mazing Large Wallet - Caramel,Large Wallet,DRAFT
piazza-wallet-crossbody-bag-60281054-974,Piazza Wallet Crossbody Bag,Large Wallet,ACTIVE
piazza-wallet-crossbody-bag-60281055-100,Piazza Wallet Crossbody Bag,Large Wallet,DRAFT
stevie-wallet-crossbody-bag-60281255-974,Stevie Wallet Crossbody Bag,Large Wallet,DRAFT
mim-gram-vacay-wallet-60281062-9921,Mim-Gram Vacay Wallet,Large Wallet,ACTIVE
jagger-petite-wallet-60283975-100,Jagger Petite Wallet,Large Wallet,DRAFT
stevie-wallet-crossbody-bag-60283977-2683,Stevie Wallet Crossbody Bag,Large Wallet,ACTIVE
d-vine-slim-wallet-60283934-7989,D-Vine Slim Wallet,Large Wallet,DRAFT
hendrix-wallet-60284011-1492,Hendrix Wallet,Large Wallet,ACTIVE
d-vine-slim-wallet-60283935-1492,D-Vine Slim Wallet,Large Wallet,ACTIVE
hendrix-wallet-60284012-2351,Hendrix Wallet,Large Wallet,DRAFT
d-vine-slim-wallet-60283936-2351,D-Vine Slim Wallet,Large Wallet,DRAFT
d-vine-slim-wallet-60283937-974,D-Vine Slim Wallet,Large Wallet,ACTIVE
classico-duo-card-wallet-60283944-7929,Classico Duo Card Wallet,Large Wallet,DRAFT
jett-wallet-60283947-1492,Jett Wallet,Large Wallet,DRAFT
jett-wallet-60283948-3637,Jett Wallet,Large Wallet,ACTIVE
jett-wallet-60283949-2351,Jett Wallet,Large Wallet,DRAFT
jett-wallet-60283950-974,Jett Wallet,Large Wallet,ACTIVE
jett-credit-card-crossbody-bag-60283966-9921,Jett Credit Card Crossbody Bag,Large Wallet,DRAFT
jett-credit-card-crossbody-bag-60283967-100,Jett Credit Card Crossbody Bag,Large Wallet,DRAFT
serenity-medium-wallet-60283971-1492,Serenity Medium Wallet,Large Wallet,ACTIVE
jagger-petite-wallet-60283974-2683,Jagger Petite Wallet,Large Wallet,ACTIVE
d-vine-large-wallet-60284429-1492,D-Vine Large Wallet,Large Wallet,ACTIVE
hendrix-wallet-60284948-9621,Hendrix Wallet,Large Wallet,ACTIVE
