handle,title,product_type,status
heart-to-heart-neck-60197124-901,Heart to Heart Neck,Neck,DRAFT
flipside-pendant-60243367-84,Flipside Pendant,Neck,ACTIVE
mim-match-strand-necklace-60243556-9570,Mim-Match Strand Necklace,Neck,DRAFT
amulet-pendant-necklace-60244400-9865,Amulet Pendant Necklace,Neck,ACTIVE
firefly-charm-necklace-60256048-9570,Firefly Charm Necklace,Neck,ACTIVE
mim-charmed-long-necklace-60256079-9570,Mim-Charmed Long Necklace,Neck,ACTIVE
orchestra-necklace-60256450-577,Orchestra Necklace,Neck,DRAFT
orchestra-necklace-60256451-444,Orchestra Necklace,Neck,DRAFT
mim-link-necklace-60258316-9570,Mim-Link Necklace,Neck,ACTIVE
mim-link-sterling-silver-neck-60260742-908,Mim-Link Sterling Silver Neck,Neck,ACTIVE
connective-sterling-silver-necklace-60266497-9570,Connective Sterling Silver Necklace,Neck,ACTIVE
miss-mim-necklace-60265815-9570,Miss Mim Necklace,Neck,ACTIVE
connective-sterling-silver-necklace-60266500-901,Connective Sterling Silver Necklace,Neck,ACTIVE
animalia-necklace-60265946-9573,Animalia Necklace,Neck,ACTIVE
star-blazer-sterling-silver-charm-60269174-9570,Star Blazer Sterling Silver Charm,Neck,ACTIVE
star-blazer-sterling-silver-charm-60269175-901,Star Blazer Sterling Silver Charm,Neck,ACTIVE
sparkler-sterling-silver-charm-60269182-908,Sparkler Sterling Silver Charm,Neck,ACTIVE
ringlet-duo-necklace-60267130-901,Ringlet Duo Necklace,Neck,ACTIVE
beat-sterling-silver-charm-60269185-908,Beat Sterling Silver Charm,Neck,ACTIVE
trinket-charm-necklace-60267268-9429,Trinket Charm Necklace,Neck,ACTIVE
shimmer-sterling-silver-necklace-60271266-901,Shimmer Sterling Silver Necklace,Neck,DRAFT
twiddle-sterling-silver-necklace-60271306-901,Twiddle Sterling Silver Necklace,Neck,ACTIVE
midsummer-necklace-60271141-84,Midsummer Necklace,Neck,ACTIVE
lunar-sterling-silver-charm-60273118-908,Lunar Sterling Silver Charm,Neck,ACTIVE
lively-necklace-60274273-9573,Lively Necklace,Neck,ACTIVE
birthday-sterling-silver-charm-60271809-3010,Birthday Sterling Silver Charm,Neck,ACTIVE
clique-sterling-silver-necklace-60274021-908,Clique Sterling Silver Necklace,Neck,DRAFT
